Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1047¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":160,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Program
1048¿ExpressionStatement¿¿1804¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ExpressionStatement
1049¿Literal¿string¿1804¿¿'use strict'¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1050¿VariableDeclarator¿¿1804¿macfromip¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1051¿Identifier¿¿1804¿exports¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1052¿VariableDeclarator¿¿1804¿cp¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1053¿CallExpression¿¿1804¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1054¿Identifier¿¿1804¿require¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1055¿Literal¿string¿1804¿¿'child_process'¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1056¿VariableDeclarator¿¿1804¿os¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1057¿CallExpression¿¿1804¿¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1058¿Identifier¿¿1804¿require¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1059¿Literal¿string¿1804¿¿'os'¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1060¿VariableDeclarator¿¿1804¿MACADDRESS_LENGTH¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1061¿Literal¿number¿1804¿¿17¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1062¿VariableDeclarator¿exported¿1804¿v116¿¿¿{"start":{"line":11,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1063¿FunctionExpression¿¿1804¿anon¿¿¿{"start":{"line":11,"column":20},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿FunctionExpression
1064¿Identifier¿¿0¿value¿¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1065¿VariableDeclarator¿¿1806¿v109¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1066¿BinaryExpression¿===¿1806¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BinaryExpression
1067¿Identifier¿¿1806¿value¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1068¿Literal¿object¿1806¿¿null¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1069¿VariableDeclarator¿¿1806¿v110¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1070¿UnaryExpression¿typeof¿1806¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿UnaryExpression
1071¿Identifier¿¿1806¿value¿¿¿{"start":{"line":12,"column":38},"end":{"line":12,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1072¿VariableDeclarator¿¿1806¿v111¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1073¿BinaryExpression¿===¿1806¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BinaryExpression
1074¿Identifier¿¿1806¿v110¿¿¿¿¿Identifier
1075¿Literal¿string¿1806¿¿'undefined'¿¿{"start":{"line":12,"column":48},"end":{"line":12,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1076¿VariableDeclarator¿¿1806¿v112¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1077¿LogicalExpression¿||¿1806¿¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿LogicalExpression
1078¿Identifier¿¿1806¿v109¿¿¿¿¿Identifier
1079¿Identifier¿¿1806¿v111¿¿¿¿¿Identifier
1080¿VariableDeclarator¿¿1806¿v113¿¿¿{"start":{"line":12,"column":70},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1081¿MemberExpression¿¿1806¿¿¿¿{"start":{"line":12,"column":70},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1082¿Identifier¿¿1806¿value¿¿¿{"start":{"line":12,"column":70},"end":{"line":12,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1083¿Identifier¿¿1806¿length¿¿¿{"start":{"line":12,"column":76},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1084¿VariableDeclarator¿¿1806¿v114¿¿¿{"start":{"line":12,"column":64},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1085¿BinaryExpression¿===¿1806¿¿¿¿{"start":{"line":12,"column":64},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BinaryExpression
1086¿Literal¿number¿1806¿¿0¿¿{"start":{"line":12,"column":64},"end":{"line":12,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1087¿Identifier¿¿1806¿v113¿¿¿¿¿Identifier
1088¿VariableDeclarator¿¿1806¿v115¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1089¿LogicalExpression¿||¿1806¿¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿LogicalExpression
1090¿Identifier¿¿1806¿v112¿¿¿¿¿Identifier
1091¿Identifier¿¿1806¿v114¿¿¿¿¿Identifier
1092¿ReturnStatement¿¿1806¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":84},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ReturnStatement
1093¿Identifier¿¿1806¿v115¿¿¿¿¿Identifier
1094¿BlockStatement¿¿1806¿¿¿¿{"start":{"line":11,"column":35},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1095¿ExpressionStatement¿¿1804¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":13,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ExpressionStatement
