Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
857¿Program¿¿-1¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":159,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Program
858¿VariableDeclarator¿¿1522¿v100¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
859¿MemberExpression¿¿1522¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
860¿Identifier¿¿1522¿module¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
861¿Identifier¿¿1522¿exports¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
862¿VariableDeclarator¿exported¿1522¿exists¿¿¿{"start":{"line":16,"column":13},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
863¿FunctionExpression¿¿1522¿anon¿¿¿{"start":{"line":16,"column":37},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿FunctionExpression
864¿Identifier¿¿0¿object¿¿¿{"start":{"line":16,"column":53},"end":{"line":16,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
865¿Identifier¿¿0¿path¿¿¿{"start":{"line":16,"column":61},"end":{"line":16,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
866¿VariableDeclarator¿¿1524¿v101¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
867¿UnaryExpression¿typeof¿1524¿¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿UnaryExpression
868¿Identifier¿¿1524¿path¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
869¿VariableDeclarator¿¿1524¿v102¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
