Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
764¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":155,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿Program
765¿VariableDeclarator¿¿1342¿v135¿¿¿{"start":{"line":1,"column":1},"end":{"line":155,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿VariableDeclarator
766¿FunctionExpression¿¿1342¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":155,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿FunctionExpression
767¿VariableDeclarator¿¿1344¿v78¿¿¿{"start":{"line":2,"column":3},"end":{"line":8,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿VariableDeclarator
768¿FunctionExpression¿¿1344¿anon¿¿¿{"start":{"line":2,"column":3},"end":{"line":8,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿FunctionExpression
769¿Identifier¿¿0¿factory¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿Identifier
770¿VariableDeclarator¿¿1346¿v69¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿VariableDeclarator
771¿UnaryExpression¿typeof¿1346¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿UnaryExpression
772¿Identifier¿¿1346¿exports¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿Identifier
773¿VariableDeclarator¿¿1346¿v70¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿VariableDeclarator
774¿BinaryExpression¿===¿1346¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-pfv6-prqm-85q8/src/utils.js"}¿¿BinaryExpression
775¿Identifier¿¿1346¿v69¿¿¿¿¿Identifier
