Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3088¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":166,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Program
3089¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3090¿Literal¿string¿4446¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3091¿VariableDeclarator¿¿4446¿Utils¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3092¿CallExpression¿¿4446¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿CallExpression
3093¿Identifier¿¿4446¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3094¿Literal¿string¿4446¿¿'./utils'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3095¿VariableDeclarator¿¿4446¿v359¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3096¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3097¿Identifier¿¿4446¿Object¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3098¿Identifier¿¿4446¿prototype¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3099¿VariableDeclarator¿¿4446¿has¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3100¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3101¿Identifier¿¿4446¿v359¿¿¿¿¿Identifier
3102¿Identifier¿¿4446¿hasOwnProperty¿¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3103¿VariableDeclarator¿¿4446¿v360¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
