Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
559¿Program¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":121,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Program
560¿VariableDeclarator¿¿child_process¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿VariableDeclarator
561¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿CallExpression
562¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Identifier
563¿Literal¿string¿¿'child_process'¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Literal
564¿VariableDeclarator¿¿utils¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿VariableDeclarator
565¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿CallExpression
566¿Identifier¿¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Identifier
567¿Literal¿string¿¿'../utils'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Literal
568¿VariableDeclarator¿exported¿v102¿¿¿¿¿VariableDeclarator
569¿FunctionExpression¿¿anon¿¿¿{"start":{"line":11,"column":17},"end":{"line":121,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿FunctionExpression
570¿Identifier¿¿worker¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/797/src/index.js"}¿¿Identifier
