Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2610¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":247,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Program
2611¿VariableDeclarator¿¿4637¿rdf¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2612¿CallExpression¿¿4637¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿CallExpression
2613¿Identifier¿¿4637¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2614¿Literal¿string¿4637¿¿'rdf-graph-abstract'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2615¿VariableDeclarator¿¿4637¿util¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2616¿CallExpression¿¿4637¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿CallExpression
2617¿Identifier¿¿4637¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2618¿Literal¿string¿4637¿¿'util'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2619¿VariableDeclarator¿¿4637¿v346¿¿¿{"start":{"line":4,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2620¿FunctionExpression¿¿4637¿anon¿¿¿{"start":{"line":4,"column":16},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿FunctionExpression
2621¿Identifier¿¿0¿iri¿¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2622¿ExpressionStatement¿¿4639¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ExpressionStatement
2623¿AssignmentExpression¿=¿4639¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿AssignmentExpression
2624¿MemberExpression¿¿4639¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2625¿ThisExpression¿¿4639¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2626¿Identifier¿¿4639¿interfaceName¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2627¿Literal¿string¿4639¿¿'NamedNode'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2628¿ExpressionStatement¿¿4639¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ExpressionStatement
2629¿AssignmentExpression¿=¿4639¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿AssignmentExpression
2630¿MemberExpression¿¿4639¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2631¿ThisExpression¿¿4639¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2632¿Identifier¿¿4639¿nominalValue¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2633¿Identifier¿¿4639¿iri¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2634¿BlockStatement¿¿4639¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2635¿ExpressionStatement¿¿4637¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ExpressionStatement
2636¿AssignmentExpression¿=¿4637¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿AssignmentExpression
2637¿MemberExpression¿¿4637¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2638¿Identifier¿¿4637¿rdf¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
