Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1074¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":268,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Program
1075¿ExpressionStatement¿¿1857¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1076¿Literal¿string¿1857¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1077¿VariableDeclarator¿¿1857¿v108¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":561},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1078¿FunctionExpression¿¿1857¿anon¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":561},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿FunctionExpression
1079¿VariableDeclarator¿¿1859¿defineProperties¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":349},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1080¿FunctionExpression¿¿1859¿anon¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":349},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿FunctionExpression
1081¿Identifier¿¿0¿target¿¿¿{"start":{"line":3,"column":59},"end":{"line":3,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1082¿Identifier¿¿0¿props¿¿¿{"start":{"line":3,"column":67},"end":{"line":3,"column":72},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1083¿VariableDeclarator¿¿1861¿i¿¿¿{"start":{"line":3,"column":85},"end":{"line":3,"column":90},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1084¿Literal¿number¿1861¿¿0¿¿{"start":{"line":3,"column":89},"end":{"line":3,"column":90},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1085¿VariableDeclarator¿¿1861¿v97¿¿¿{"start":{"line":3,"column":96},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1086¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":96},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1087¿Identifier¿¿1861¿props¿¿¿{"start":{"line":3,"column":96},"end":{"line":3,"column":101},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1088¿Identifier¿¿1861¿length¿¿¿{"start":{"line":3,"column":102},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1089¿VariableDeclarator¿¿1861¿v98¿¿¿{"start":{"line":3,"column":92},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1090¿BinaryExpression¿<¿1861¿¿¿¿{"start":{"line":3,"column":92},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BinaryExpression
