Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
865¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":108,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Program
866¿VariableDeclarator¿¿1452¿path¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
867¿CallExpression¿¿1452¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
868¿Identifier¿¿1452¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
869¿Literal¿string¿1452¿¿'path'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
870¿VariableDeclarator¿¿1452¿cp¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
871¿CallExpression¿¿1452¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
872¿Identifier¿¿1452¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
873¿Literal¿string¿1452¿¿'child_process'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
874¿VariableDeclarator¿¿1452¿split¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
875¿CallExpression¿¿1452¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
