Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1147¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":177,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Program
1148¿VariableDeclarator¿¿1991¿v107¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1149¿CallExpression¿¿1991¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1150¿Identifier¿¿1991¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1151¿Literal¿string¿1991¿¿'child_process'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1152¿VariableDeclarator¿¿1991¿exec¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1153¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1154¿Identifier¿¿1991¿v107¿¿¿¿¿Identifier
1155¿Identifier¿¿1991¿exec¿¿¿{"start":{"line":1,"column":36},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1156¿VariableDeclarator¿¿1991¿path¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1157¿CallExpression¿¿1991¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
