Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
485¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":77,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Program
486¿ExpressionStatement¿¿851¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ExpressionStatement
487¿Literal¿string¿851¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
488¿VariableDeclarator¿¿851¿_http¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
489¿CallExpression¿¿851¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
490¿Identifier¿¿851¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
491¿Literal¿string¿851¿¿'http'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
492¿VariableDeclarator¿¿851¿_http2¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
493¿CallExpression¿¿851¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
494¿Identifier¿¿851¿_interopRequireDefault¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
495¿Identifier¿¿851¿_http¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
496¿VariableDeclarator¿¿851¿_path¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
497¿CallExpression¿¿851¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
498¿Identifier¿¿851¿require¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
499¿Literal¿string¿851¿¿'path'¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
500¿VariableDeclarator¿¿851¿_path2¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
501¿CallExpression¿¿851¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
502¿Identifier¿¿851¿_interopRequireDefault¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
503¿Identifier¿¿851¿_path¿¿¿{"start":{"line":9,"column":36},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
504¿VariableDeclarator¿¿851¿_url¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
505¿CallExpression¿¿851¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
506¿Identifier¿¿851¿require¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
507¿Literal¿string¿851¿¿'url'¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
508¿VariableDeclarator¿¿851¿_url2¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
509¿CallExpression¿¿851¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
510¿Identifier¿¿851¿_interopRequireDefault¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
511¿Identifier¿¿851¿_url¿¿¿{"start":{"line":13,"column":35},"end":{"line":13,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
512¿VariableDeclarator¿¿851¿_fs¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
513¿CallExpression¿¿851¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
514¿Identifier¿¿851¿require¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
515¿Literal¿string¿851¿¿'fs'¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
516¿VariableDeclarator¿¿851¿_fs2¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
517¿CallExpression¿¿851¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
518¿Identifier¿¿851¿_interopRequireDefault¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
519¿Identifier¿¿851¿_fs¿¿¿{"start":{"line":17,"column":34},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
520¿VariableDeclarator¿¿851¿_interopRequireDefault¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":95},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
521¿FunctionExpression¿¿851¿anon¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":95},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿FunctionExpression
522¿Identifier¿¿0¿obj¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
523¿VariableDeclarator¿¿853¿v41¿¿¿{"start":{"line":19,"column":53},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
524¿MemberExpression¿¿853¿¿¿¿{"start":{"line":19,"column":53},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
525¿Identifier¿¿853¿obj¿¿¿{"start":{"line":19,"column":53},"end":{"line":19,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
526¿Identifier¿¿853¿__esModule¿¿¿{"start":{"line":19,"column":57},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
527¿VariableDeclarator¿¿853¿v42¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
528¿LogicalExpression¿&&¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿LogicalExpression
529¿Identifier¿¿853¿obj¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
530¿Identifier¿¿853¿v41¿¿¿¿¿Identifier
531¿VariableDeclarator¿¿853¿v43¿¿¿{"start":{"line":19,"column":76},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
532¿ObjectExpression¿¿853¿¿¿¿{"start":{"line":19,"column":76},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ObjectExpression
533¿Property¿¿853¿¿¿¿{"start":{"line":19,"column":78},"end":{"line":19,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Property
534¿Identifier¿¿853¿default¿¿¿{"start":{"line":19,"column":78},"end":{"line":19,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
535¿Identifier¿¿853¿obj¿¿¿{"start":{"line":19,"column":87},"end":{"line":19,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
536¿VariableDeclarator¿¿853¿v44¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
