Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
561¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Program
562¿ExpressionStatement¿¿1002¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ExpressionStatement
563¿Literal¿string¿1002¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
564¿VariableDeclarator¿¿1002¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
565¿CallExpression¿¿1002¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿CallExpression
566¿Identifier¿¿1002¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
567¿Literal¿string¿1002¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
568¿VariableDeclarator¿¿1002¿v78¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
569¿CallExpression¿¿1002¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿CallExpression
570¿Identifier¿¿1002¿require¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
571¿Literal¿string¿1002¿¿'child_process'¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
572¿VariableDeclarator¿¿1002¿execSync¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
573¿MemberExpression¿¿1002¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
574¿Identifier¿¿1002¿v78¿¿¿¿¿Identifier
575¿Identifier¿¿1002¿execSync¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
576¿VariableDeclarator¿¿1002¿fs¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
577¿CallExpression¿¿1002¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿CallExpression
578¿Identifier¿¿1002¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
