Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1014¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":166,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Program
1015¿VariableDeclarator¿¿1732¿loopback¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1016¿CallExpression¿¿1732¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1017¿Identifier¿¿1732¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1018¿Literal¿string¿1732¿¿'loopback'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1019¿VariableDeclarator¿¿1732¿boot¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1020¿CallExpression¿¿1732¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1021¿Identifier¿¿1732¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1022¿Literal¿string¿1732¿¿'loopback-boot'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1023¿VariableDeclarator¿¿1732¿childProcess¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1024¿CallExpression¿¿1732¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1025¿Identifier¿¿1732¿require¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1026¿Literal¿string¿1732¿¿'child_process'¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1027¿VariableDeclarator¿¿1732¿async¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1028¿CallExpression¿¿1732¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1029¿Identifier¿¿1732¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1030¿Literal¿string¿1732¿¿'async'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1031¿VariableDeclarator¿¿1732¿path¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1032¿CallExpression¿¿1732¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1033¿Identifier¿¿1732¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1034¿Literal¿string¿1732¿¿'path'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1035¿VariableDeclarator¿¿1732¿v87¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1036¿CallExpression¿¿1732¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1037¿Identifier¿¿1732¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1038¿Literal¿string¿1732¿¿'debug'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1039¿VariableDeclarator¿¿1732¿debug¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1040¿CallExpression¿¿1732¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1041¿Identifier¿¿1732¿v87¿¿¿¿¿Identifier
1042¿Literal¿string¿1732¿¿'strong-nginx-controller:server'¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1043¿VariableDeclarator¿¿1732¿nginxConf¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1044¿CallExpression¿¿1732¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1045¿Identifier¿¿1732¿require¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1046¿Literal¿string¿1732¿¿'./nginx-conf'¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1047¿VariableDeclarator¿exported¿1732¿setup¿¿¿{"start":{"line":11,"column":0},"end":{"line":136,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1048¿FunctionExpression¿¿1732¿anon¿¿¿{"start":{"line":11,"column":0},"end":{"line":136,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿FunctionExpression
1049¿Identifier¿¿0¿baseDir¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1050¿Identifier¿¿0¿nginxPath¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1051¿Identifier¿¿0¿controlEndpoint¿¿¿{"start":{"line":11,"column":35},"end":{"line":11,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1052¿Identifier¿¿0¿listenEndpoint¿¿¿{"start":{"line":11,"column":52},"end":{"line":11,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1053¿Identifier¿¿0¿nginxRoot¿¿¿{"start":{"line":11,"column":68},"end":{"line":11,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1054¿VariableDeclarator¿¿1734¿app¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1055¿CallExpression¿¿1734¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1056¿Identifier¿¿1734¿loopback¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1057¿VariableDeclarator¿¿1734¿v88¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1058¿CallExpression¿¿1734¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1059¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1060¿Identifier¿¿1734¿app¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1061¿Identifier¿¿1734¿set¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1062¿Literal¿string¿1734¿¿'nginxPath'¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1063¿Identifier¿¿1734¿nginxPath¿¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1064¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1065¿Identifier¿¿1734¿v88¿¿¿¿¿Identifier
1066¿VariableDeclarator¿¿1734¿v89¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1067¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1068¿Identifier¿¿1734¿controlEndpoint¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1069¿Identifier¿¿1734¿hostname¿¿¿{"start":{"line":17,"column":34},"end":{"line":17,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1070¿VariableDeclarator¿¿1734¿v90¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1071¿CallExpression¿¿1734¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1072¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1073¿Identifier¿¿1734¿app¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1074¿Identifier¿¿1734¿set¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
