Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1085¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":170,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Program
1086¿ExpressionStatement¿¿1859¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ExpressionStatement
1087¿Literal¿string¿1859¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1088¿VariableDeclarator¿¿1859¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1089¿CallExpression¿¿1859¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1090¿Identifier¿¿1859¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1091¿Literal¿string¿1859¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1092¿VariableDeclarator¿¿1859¿v112¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1093¿CallExpression¿¿1859¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1094¿Identifier¿¿1859¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1095¿Literal¿string¿1859¿¿'util'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1096¿VariableDeclarator¿¿1859¿promisify¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1097¿MemberExpression¿¿1859¿¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
