Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5849¿Program¿¿-1¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":760,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Program
5850¿ExpressionStatement¿¿10281¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5851¿Literal¿string¿10281¿¿'use strict'¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5852¿VariableDeclarator¿¿10281¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿VariableDeclarator
5853¿ObjectExpression¿¿10281¿¿¿¿¿¿ObjectExpression
5854¿ExpressionStatement¿¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5855¿AssignmentExpression¿=¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5856¿MemberExpression¿computed¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5857¿Identifier¿¿10281¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5858¿Literal¿number¿10281¿¿0xc0¿¿{"start":{"line":29,"column":14},"end":{"line":29,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5859¿Literal¿boolean¿10281¿¿true¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5860¿ExpressionStatement¿¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5861¿AssignmentExpression¿=¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
5862¿MemberExpression¿computed¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿MemberExpression
5863¿Identifier¿¿10281¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Identifier
5864¿Literal¿number¿10281¿¿0xc1¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5865¿Literal¿boolean¿10281¿¿true¿¿{"start":{"line":29,"column":32},"end":{"line":29,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿Literal
5866¿ExpressionStatement¿¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿ExpressionStatement
5867¿AssignmentExpression¿=¿10281¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/datasets/secbench-dataset/CWE-78/total.js_3.4.6/src/image.js"}¿¿AssignmentExpression
