Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4210¿Program¿¿-1¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":489,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Program
4211¿VariableDeclarator¿¿7322¿v945¿¿¿{"start":{"line":17,"column":1},"end":{"line":489,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4212¿FunctionExpression¿¿7322¿anon¿¿¿{"start":{"line":17,"column":1},"end":{"line":489,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿FunctionExpression
4213¿ExpressionStatement¿¿7324¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4214¿Literal¿string¿7324¿¿'use strict'¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4215¿VariableDeclarator¿¿7324¿express¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4216¿CallExpression¿¿7324¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4217¿Identifier¿¿7324¿require¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4218¿Literal¿string¿7324¿¿'express'¿¿{"start":{"line":19,"column":26},"end":{"line":19,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4219¿VariableDeclarator¿¿7324¿router¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4220¿CallExpression¿¿7324¿¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4221¿MemberExpression¿¿7324¿¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4222¿Identifier¿¿7324¿express¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4223¿Identifier¿¿7324¿Router¿¿¿{"start":{"line":20,"column":25},"end":{"line":20,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4224¿VariableDeclarator¿¿7324¿fs¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4225¿CallExpression¿¿7324¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4226¿Identifier¿¿7324¿require¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4227¿Literal¿string¿7324¿¿'fs'¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
