Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
15966¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":3000,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Program
15967¿VariableDeclarator¿¿28298¿forge¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
15968¿CallExpression¿¿28298¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿CallExpression
15969¿Identifier¿¿28298¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15970¿Literal¿string¿28298¿¿'./forge'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Literal
15971¿VariableDeclarator¿¿28298¿baseN¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
15972¿CallExpression¿¿28298¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿CallExpression
15973¿Identifier¿¿28298¿require¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15974¿Literal¿string¿28298¿¿'./baseN'¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Literal
15975¿VariableDeclarator¿¿28298¿v1718¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
15976¿MemberExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
15977¿Identifier¿¿28298¿forge¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15978¿Identifier¿¿28298¿util¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15979¿VariableDeclarator¿¿28298¿v1719¿¿¿{"start":{"line":12,"column":55},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
15980¿ObjectExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":55},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ObjectExpression
15981¿ExpressionStatement¿¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
15982¿AssignmentExpression¿=¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
15983¿MemberExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
15984¿Identifier¿¿28298¿forge¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15985¿Identifier¿¿28298¿util¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15986¿LogicalExpression¿||¿28298¿¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿LogicalExpression
15987¿Identifier¿¿28298¿v1718¿¿¿¿¿Identifier
15988¿Identifier¿¿28298¿v1719¿¿¿¿¿Identifier
15989¿ExpressionStatement¿¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
15990¿AssignmentExpression¿=¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
15991¿MemberExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
15992¿Identifier¿¿28298¿module¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15993¿Identifier¿¿28298¿exports¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15994¿MemberExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
15995¿Identifier¿¿28298¿forge¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15996¿Identifier¿¿28298¿util¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
15997¿VariableDeclarator¿¿28298¿util¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
15998¿MemberExpression¿¿28298¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
15999¿Identifier¿¿28298¿module¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16000¿Identifier¿¿28298¿exports¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16001¿VariableDeclarator¿¿28298¿v1780¿¿¿{"start":{"line":15,"column":1},"end":{"line":107,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16002¿FunctionExpression¿¿28298¿anon¿¿¿{"start":{"line":15,"column":1},"end":{"line":107,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿FunctionExpression
16003¿VariableDeclarator¿¿28300¿v1720¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16004¿UnaryExpression¿typeof¿28300¿¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿UnaryExpression
16005¿Identifier¿¿28300¿process¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16006¿VariableDeclarator¿¿28300¿v1721¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16007¿BinaryExpression¿!==¿28300¿¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BinaryExpression
16008¿Identifier¿¿28300¿v1720¿¿¿¿¿Identifier
16009¿Literal¿string¿28300¿¿'undefined'¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Literal
16010¿VariableDeclarator¿¿28300¿v1722¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16011¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16012¿Identifier¿¿28300¿process¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16013¿Identifier¿¿28300¿nextTick¿¿¿{"start":{"line":19,"column":47},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16014¿VariableDeclarator¿¿28300¿v1723¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16015¿LogicalExpression¿&&¿28300¿¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿LogicalExpression
16016¿Identifier¿¿28300¿v1721¿¿¿¿¿Identifier
16017¿Identifier¿¿28300¿v1722¿¿¿¿¿Identifier
16018¿VariableDeclarator¿¿28300¿v1724¿¿¿{"start":{"line":19,"column":60},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16019¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":19,"column":60},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16020¿Identifier¿¿28300¿process¿¿¿{"start":{"line":19,"column":60},"end":{"line":19,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16021¿Identifier¿¿28300¿browser¿¿¿{"start":{"line":19,"column":68},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16022¿VariableDeclarator¿¿28300¿v1725¿¿¿{"start":{"line":19,"column":59},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16023¿UnaryExpression¿!¿28300¿¿¿¿{"start":{"line":19,"column":59},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿UnaryExpression
16024¿Identifier¿¿28300¿v1724¿¿¿¿¿Identifier
16025¿VariableDeclarator¿¿28300¿v1726¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16026¿LogicalExpression¿&&¿28300¿¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿LogicalExpression
16027¿Identifier¿¿28300¿v1723¿¿¿¿¿Identifier
16028¿Identifier¿¿28300¿v1725¿¿¿¿¿Identifier
16029¿IfStatement¿¿28300¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿IfStatement
16030¿Identifier¿¿28300¿v1726¿¿¿¿¿Identifier
16031¿VariableDeclarator¿¿28300¿v1727¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16032¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16033¿Identifier¿¿28300¿process¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16034¿Identifier¿¿28300¿nextTick¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16035¿ExpressionStatement¿¿28300¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
16036¿AssignmentExpression¿=¿28300¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
16037¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16038¿Identifier¿¿28300¿util¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16039¿Identifier¿¿28300¿nextTick¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16040¿Identifier¿¿28300¿v1727¿¿¿¿¿Identifier
