Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4025¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":550,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Program
4026¿VariableDeclarator¿¿7050¿v392¿¿¿{"start":{"line":1,"column":1},"end":{"line":10,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4027¿FunctionExpression¿¿7050¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":10,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿FunctionExpression
4028¿Identifier¿¿0¿root¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4029¿Identifier¿¿0¿factory¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4030¿VariableDeclarator¿¿7052¿v380¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4031¿UnaryExpression¿typeof¿7052¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿UnaryExpression
4032¿Identifier¿¿7052¿define¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4033¿VariableDeclarator¿¿7052¿v381¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4034¿BinaryExpression¿===¿7052¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BinaryExpression
4035¿Identifier¿¿7052¿v380¿¿¿¿¿Identifier
4036¿Literal¿string¿7052¿¿'function'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4037¿VariableDeclarator¿¿7052¿v382¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4038¿MemberExpression¿¿7052¿¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
