Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
761¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":127,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Program
762¿VariableDeclarator¿¿1313¿Repo¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
763¿CallExpression¿¿1313¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
764¿Identifier¿¿1313¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
765¿Literal¿string¿1313¿¿'../repo.js'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
766¿VariableDeclarator¿¿1313¿API¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
767¿CallExpression¿¿1313¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
768¿Identifier¿¿1313¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
769¿Literal¿string¿1313¿¿'../api.js'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
770¿VariableDeclarator¿¿1313¿config¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
771¿CallExpression¿¿1313¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
