Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
576¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Program
577¿VariableDeclarator¿¿1007¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
578¿CallExpression¿¿1007¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
579¿Identifier¿¿1007¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
580¿Literal¿string¿1007¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
581¿VariableDeclarator¿¿1007¿url¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
582¿CallExpression¿¿1007¿¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
583¿Identifier¿¿1007¿require¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
584¿Literal¿string¿1007¿¿'url'¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
585¿VariableDeclarator¿¿1007¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
586¿CallExpression¿¿1007¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
587¿Identifier¿¿1007¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
588¿Literal¿string¿1007¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
589¿VariableDeclarator¿¿1007¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
590¿CallExpression¿¿1007¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
591¿Identifier¿¿1007¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
592¿Literal¿string¿1007¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
593¿VariableDeclarator¿¿1007¿port¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
594¿Literal¿number¿1007¿¿8000¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
595¿VariableDeclarator¿¿1007¿cwd¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
596¿CallExpression¿¿1007¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
597¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
598¿Identifier¿¿1007¿process¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
599¿Identifier¿¿1007¿cwd¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
600¿VariableDeclarator¿¿1007¿logging¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
601¿Literal¿boolean¿1007¿¿false¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
602¿VariableDeclarator¿¿1007¿i¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
603¿Literal¿number¿1007¿¿0¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
604¿VariableDeclarator¿¿1007¿v53¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
605¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
606¿Identifier¿¿1007¿process¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
607¿Identifier¿¿1007¿argv¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
608¿VariableDeclarator¿¿1007¿v54¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
609¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
610¿Identifier¿¿1007¿v53¿¿¿¿¿Identifier
611¿Identifier¿¿1007¿length¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
612¿VariableDeclarator¿¿1007¿v55¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
613¿BinaryExpression¿<¿1007¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BinaryExpression
614¿Identifier¿¿1007¿i¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
615¿Identifier¿¿1007¿v54¿¿¿¿¿Identifier
616¿WhileStatement¿¿1007¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿WhileStatement
617¿Identifier¿¿1007¿v55¿¿¿¿¿Identifier
618¿VariableDeclarator¿¿1007¿v57¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
619¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
620¿Identifier¿¿1007¿process¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
621¿Identifier¿¿1007¿argv¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
622¿VariableDeclarator¿¿1007¿arg¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
623¿MemberExpression¿computed¿1007¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
624¿Identifier¿¿1007¿v57¿¿¿¿¿Identifier
