Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
707¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":114,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Program
708¿VariableDeclarator¿exported¿1248¿MoscBase¿¿¿{"start":{"line":1,"column":4},"end":{"line":113,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
709¿FunctionExpression¿¿1248¿anon¿¿¿{"start":{"line":1,"column":15},"end":{"line":113,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿FunctionExpression
710¿Identifier¿¿0¿evaluation_context_dictionary¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
711¿ExpressionStatement¿¿1250¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
712¿AssignmentExpression¿=¿1250¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
713¿MemberExpression¿¿1250¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
714¿ThisExpression¿¿1250¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ThisExpression
715¿Identifier¿¿1250¿eval_ctx_dict¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
716¿Identifier¿¿1250¿evaluation_context_dictionary¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
717¿VariableDeclarator¿¿1250¿v64¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
718¿ObjectExpression¿¿1250¿¿¿¿¿¿ObjectExpression
719¿ExpressionStatement¿¿1250¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
720¿AssignmentExpression¿=¿1250¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
721¿MemberExpression¿¿1250¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
722¿ThisExpression¿¿1250¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ThisExpression
723¿Identifier¿¿1250¿baseObject¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
724¿Identifier¿¿1250¿v64¿¿¿¿¿Identifier
725¿ExpressionStatement¿¿1250¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
726¿AssignmentExpression¿=¿1250¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
727¿MemberExpression¿¿1250¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
728¿ThisExpression¿¿1250¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ThisExpression
729¿Identifier¿¿1250¿noMoreBuild¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
730¿Literal¿boolean¿1250¿¿false¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
731¿VariableDeclarator¿¿1250¿emptyCheck¿¿¿{"start":{"line":7,"column":1},"end":{"line":12,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
