Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
792¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":106,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Program
793¿VariableDeclarator¿¿1367¿Path¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
794¿CallExpression¿¿1367¿¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
795¿Identifier¿¿1367¿require¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
796¿Literal¿string¿1367¿¿'path'¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
797¿VariableDeclarator¿¿1367¿FS¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
798¿CallExpression¿¿1367¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
799¿Identifier¿¿1367¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
800¿Literal¿string¿1367¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
801¿VariableDeclarator¿exported¿1367¿writeStatic¿¿¿{"start":{"line":3,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
802¿FunctionExpression¿¿1367¿anon¿¿¿{"start":{"line":3,"column":22},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿FunctionExpression
