Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
821¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Program
822¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
823¿Literal¿string¿1449¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
824¿VariableDeclarator¿¿1449¿Child¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1449¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
826¿Identifier¿¿1449¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
827¿Literal¿string¿1449¿¿'child_process'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
828¿VariableDeclarator¿¿1449¿Dns¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1449¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
830¿Identifier¿¿1449¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
831¿Literal¿string¿1449¿¿'dns'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
