Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1604¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":168,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Program
1605¿VariableDeclarator¿¿2819¿v288¿¿¿{"start":{"line":1,"column":21},"end":{"line":168,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1606¿FunctionExpression¿¿2819¿anon¿¿¿{"start":{"line":1,"column":21},"end":{"line":168,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿FunctionExpression
1607¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1608¿Literal¿string¿2821¿¿'use strict'¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1609¿VariableDeclarator¿¿2821¿colors¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1610¿CallExpression¿¿2821¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
1611¿Identifier¿¿2821¿require¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1612¿Literal¿string¿2821¿¿'colors'¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1613¿VariableDeclarator¿¿2821¿v145¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1614¿ArrayExpression¿¿2821¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ArrayExpression
1615¿Literal¿string¿2821¿¿'yellow'¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1616¿Literal¿string¿2821¿¿'bgBlue'¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1617¿VariableDeclarator¿¿2821¿v146¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1618¿ArrayExpression¿¿2821¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ArrayExpression
1619¿Literal¿string¿2821¿¿'grey'¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1620¿Literal¿string¿2821¿¿'bold'¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1621¿VariableDeclarator¿¿2821¿v147¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1622¿ArrayExpression¿¿2821¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ArrayExpression
1623¿Literal¿string¿2821¿¿'red'¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1624¿Literal¿string¿2821¿¿'underline'¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1625¿VariableDeclarator¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1626¿ObjectExpression¿¿2821¿¿¿¿¿¿ObjectExpression
1627¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1628¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1629¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1630¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1631¿Identifier¿¿2821¿silly¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1632¿Literal¿string¿2821¿¿'rainbow'¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1633¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1634¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1635¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
