Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
965¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":104,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Program
966¿VariableDeclarator¿¿1674¿isObject¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
967¿FunctionExpression¿¿1674¿anon¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿FunctionExpression
968¿Identifier¿¿0¿o¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
969¿Identifier¿¿0¿allowArray¿¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
970¿VariableDeclarator¿¿1676¿v89¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
971¿UnaryExpression¿typeof¿1676¿¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
972¿Identifier¿¿1676¿o¿¿¿{"start":{"line":2,"column":34},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
973¿VariableDeclarator¿¿1676¿v90¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
974¿BinaryExpression¿===¿1676¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
975¿Literal¿string¿1676¿¿'object'¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
976¿Identifier¿¿1676¿v89¿¿¿¿¿Identifier
977¿VariableDeclarator¿¿1676¿v91¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
978¿LogicalExpression¿&&¿1676¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿LogicalExpression
979¿Identifier¿¿1676¿o¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
980¿Identifier¿¿1676¿v90¿¿¿¿¿Identifier
981¿VariableDeclarator¿¿1676¿v92¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
982¿CallExpression¿¿1676¿¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
983¿MemberExpression¿¿1676¿¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":68},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
984¿Identifier¿¿1676¿Array¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
985¿Identifier¿¿1676¿isArray¿¿¿{"start":{"line":2,"column":61},"end":{"line":2,"column":68},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
986¿Identifier¿¿1676¿o¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
987¿VariableDeclarator¿¿1676¿v93¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
988¿UnaryExpression¿!¿1676¿¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
989¿Identifier¿¿1676¿v92¿¿¿¿¿Identifier
990¿VariableDeclarator¿¿1676¿v94¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
991¿LogicalExpression¿||¿1676¿¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿LogicalExpression
992¿Identifier¿¿1676¿allowArray¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
993¿Identifier¿¿1676¿v93¿¿¿¿¿Identifier
994¿VariableDeclarator¿¿1676¿v95¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
995¿LogicalExpression¿&&¿1676¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿LogicalExpression
996¿Identifier¿¿1676¿v91¿¿¿¿¿Identifier
997¿Identifier¿¿1676¿v94¿¿¿¿¿Identifier
998¿ReturnStatement¿¿1676¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
999¿Identifier¿¿1676¿v95¿¿¿¿¿Identifier
1000¿BlockStatement¿¿1676¿¿¿¿{"start":{"line":1,"column":34},"end":{"line":3,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BlockStatement
1001¿VariableDeclarator¿¿1674¿isBasic¿¿¿{"start":{"line":5,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1002¿FunctionExpression¿¿1674¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿FunctionExpression
1003¿Identifier¿¿0¿b¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1004¿VariableDeclarator¿¿1678¿v96¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1005¿UnaryExpression¿typeof¿1678¿¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
1006¿Identifier¿¿1678¿b¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1007¿VariableDeclarator¿¿1678¿v97¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1008¿BinaryExpression¿===¿1678¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1009¿Literal¿string¿1678¿¿'string'¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1010¿Identifier¿¿1678¿v96¿¿¿¿¿Identifier
1011¿VariableDeclarator¿¿1678¿v98¿¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1012¿UnaryExpression¿typeof¿1678¿¿¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
