Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5187¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":785,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Program
5188¿ExpressionStatement¿¿9071¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ExpressionStatement
5189¿Literal¿string¿9071¿¿'use strict'¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5190¿VariableDeclarator¿¿9071¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5191¿CallExpression¿¿9071¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5192¿Identifier¿¿9071¿require¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5193¿Literal¿string¿9071¿¿'fs'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5194¿VariableDeclarator¿¿9071¿parseArgs¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5195¿CallExpression¿¿9071¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5196¿Identifier¿¿9071¿require¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5197¿Literal¿string¿9071¿¿'yargs-parser'¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5198¿VariableDeclarator¿¿9071¿cloneDeep¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5199¿CallExpression¿¿9071¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5200¿Identifier¿¿9071¿require¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5201¿Literal¿string¿9071¿¿'lodash.clonedeep'¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5202¿VariableDeclarator¿¿9071¿FORBIDDEN_KEY_PATHS¿¿¿{"start":{"line":13,"column":6},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5203¿ArrayExpression¿¿9071¿¿¿¿{"start":{"line":13,"column":28},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ArrayExpression
5204¿Literal¿string¿9071¿¿'__proto__'¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5205¿Literal¿string¿9071¿¿'this.constructor.prototype'¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5206¿VariableDeclarator¿¿9071¿ALLOWED_OPTION_STRICT¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5207¿Literal¿string¿9071¿¿'strict'¿¿{"start":{"line":18,"column":30},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5208¿VariableDeclarator¿¿9071¿ALLOWED_OPTION_WARN¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5209¿Literal¿string¿9071¿¿'warn'¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5210¿VariableDeclarator¿¿9071¿assert¿¿¿{"start":{"line":21,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
