Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
79¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Program
80¿VariableDeclarator¿¿131¿namespace¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
81¿CallExpression¿¿131¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿CallExpression
82¿Identifier¿¿131¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
83¿Literal¿string¿131¿¿'./namespace'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Literal
84¿VariableDeclarator¿exported¿131¿set¿¿¿{"start":{"line":6,"column":4},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
85¿FunctionExpression¿¿131¿anon¿¿¿{"start":{"line":6,"column":4},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿FunctionExpression
86¿Identifier¿¿0¿obj¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
87¿Identifier¿¿0¿prop¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
88¿Identifier¿¿0¿val¿¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
89¿VariableDeclarator¿¿133¿parts¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
90¿CallExpression¿¿133¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿CallExpression
91¿MemberExpression¿¿133¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
92¿Literal¿object¿133¿¿/^(.+)\.(.+)$/¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Literal
93¿Identifier¿¿133¿exec¿¿¿{"start":{"line":7,"column":37},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
94¿Identifier¿¿133¿prop¿¿¿{"start":{"line":7,"column":42},"end":{"line":7,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
95¿IfStatement¿¿133¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":12,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿IfStatement
96¿Identifier¿¿133¿parts¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
97¿VariableDeclarator¿¿133¿v4¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
98¿MemberExpression¿computed¿133¿¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
99¿Identifier¿¿133¿parts¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
100¿Literal¿number¿133¿¿1¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Literal
101¿VariableDeclarator¿¿133¿v5¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
102¿CallExpression¿¿133¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿CallExpression
103¿Identifier¿¿133¿namespace¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
104¿Identifier¿¿133¿obj¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
105¿Identifier¿¿133¿v4¿¿¿¿¿Identifier
106¿VariableDeclarator¿¿133¿v6¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿VariableDeclarator
107¿MemberExpression¿computed¿133¿¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
108¿Identifier¿¿133¿parts¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
109¿Literal¿number¿133¿¿2¿¿{"start":{"line":9,"column":43},"end":{"line":9,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Literal
110¿ExpressionStatement¿¿133¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿ExpressionStatement
111¿AssignmentExpression¿=¿133¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿AssignmentExpression
112¿MemberExpression¿computed¿133¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
113¿Identifier¿¿133¿v5¿¿¿¿¿Identifier
114¿Identifier¿¿133¿v6¿¿¿¿¿Identifier
115¿Identifier¿¿133¿val¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
116¿BlockStatement¿¿133¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":10,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿BlockStatement
117¿ExpressionStatement¿¿133¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿ExpressionStatement
118¿AssignmentExpression¿=¿133¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿AssignmentExpression
119¿MemberExpression¿computed¿133¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
120¿Identifier¿¿133¿obj¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
121¿Identifier¿¿133¿prop¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
122¿Identifier¿¿133¿val¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
123¿BlockStatement¿¿133¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":12,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿BlockStatement
124¿BlockStatement¿¿133¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿BlockStatement
125¿ExpressionStatement¿¿131¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿ExpressionStatement
126¿AssignmentExpression¿=¿131¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿AssignmentExpression
127¿MemberExpression¿¿131¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿MemberExpression
128¿Identifier¿¿131¿module¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
129¿Identifier¿¿131¿exports¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
130¿Identifier¿¿131¿set¿¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/mout_1.0.0/src/set.js"}¿¿Identifier
131¿CFG_F_START¿¿131¿__main__¿¿¿¿¿CFG_F_START
132¿CFG_F_END¿¿0¿__main__¿¿¿¿¿CFG_F_END
133¿CFG_F_START¿¿133¿85_anon¿¿¿¿¿CFG_F_START
134¿CFG_F_END¿¿0¿85_anon¿¿¿¿¿CFG_F_END
135¿CFG_IF_END¿¿0¿95¿¿¿¿¿CFG_IF_END
136¿TAINT_SOURCE¿¿0¿TAINT_SOURCE¿¿¿¿¿TAINT_SOURCE
137¿PDG_CALL¿¿131¿131.CALL->require-o20¿¿¿¿¿PDG_CALL
138¿PDG_OBJECT¿¿0¿131.namespace-o21¿¿¿¿¿PDG_OBJECT
139¿TAINT_SINK¿¿0¿require¿¿¿¿¿TAINT_SINK
140¿PDG_OBJECT¿¿0¿133.this-o22¿¿¿¿¿PDG_OBJECT
141¿PDG_OBJECT¿¿0¿133.obj-o23¿¿¿¿¿PDG_OBJECT
142¿PDG_OBJECT¿¿0¿133.prop-o24¿¿¿¿¿PDG_OBJECT
143¿PDG_OBJECT¿¿0¿133.val-o25¿¿¿¿¿PDG_OBJECT
144¿PDG_OBJECT¿¿0¿131.set-o26¿¿¿¿¿PDG_OBJECT
145¿PDG_OBJECT¿¿0¿131.module-o27¿¿¿¿¿PDG_OBJECT
146¿PDG_OBJECT¿¿0¿131.module.exports-o28¿¿¿¿¿PDG_OBJECT
147¿PDG_CALL¿¿133¿133.CALL->undefined.exec-o29¿¿¿¿¿PDG_CALL
148¿PDG_OBJECT¿¿0¿133.parts-o30¿¿¿¿¿PDG_OBJECT
149¿TAINT_SINK¿¿0¿exec¿¿¿¿¿TAINT_SINK
150¿PDG_OBJECT¿¿0¿133.parts.1-o31¿¿¿¿¿PDG_OBJECT
151¿PDG_CALL¿¿133¿133.CALL->namespace-o32¿¿¿¿¿PDG_CALL
152¿PDG_OBJECT¿¿0¿133.v5-o33¿¿¿¿¿PDG_OBJECT
153¿PDG_OBJECT¿¿0¿133.parts.2-o34¿¿¿¿¿PDG_OBJECT
154¿PDG_OBJECT¿¿0¿133.v5-o35¿¿¿¿¿PDG_OBJECT
155¿PDG_OBJECT¿¿0¿133.v5.*-o36¿¿¿¿¿PDG_OBJECT
156¿PDG_OBJECT¿¿0¿133.obj-o37¿¿¿¿¿PDG_OBJECT
157¿PDG_OBJECT¿¿0¿133.obj.*-o38¿¿¿¿¿PDG_OBJECT
