Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
684¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":98,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Program
685¿ExpressionStatement¿¿1204¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
686¿Literal¿string¿1204¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
687¿VariableDeclarator¿¿1204¿v71¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
688¿ObjectExpression¿¿1204¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ObjectExpression
689¿Property¿¿1204¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Property
690¿Identifier¿¿1204¿value¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
691¿Literal¿boolean¿1204¿¿true¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
692¿VariableDeclarator¿¿1204¿v72¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
693¿CallExpression¿¿1204¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
694¿MemberExpression¿¿1204¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
695¿Identifier¿¿1204¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
696¿Identifier¿¿1204¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
697¿Identifier¿¿1204¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
698¿Literal¿string¿1204¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
699¿Identifier¿¿1204¿v71¿¿¿¿¿Identifier
700¿ExpressionStatement¿¿1204¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
701¿Identifier¿¿1204¿v72¿¿¿¿¿Identifier
702¿ExpressionStatement¿¿1204¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
703¿AssignmentExpression¿=¿1204¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿AssignmentExpression
704¿MemberExpression¿computed¿1204¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
705¿Identifier¿¿1204¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
706¿Literal¿string¿1204¿¿'default'¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
707¿Identifier¿¿1204¿mixer¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
708¿VariableDeclarator¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
709¿FunctionExpression¿¿1204¿anon¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿FunctionExpression
710¿Identifier¿¿0¿obj¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
711¿VariableDeclarator¿¿1206¿v73¿¿¿{"start":{"line":8,"column":53},"end":{"line":8,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
712¿MemberExpression¿¿1206¿¿¿¿{"start":{"line":8,"column":53},"end":{"line":8,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
713¿Identifier¿¿1206¿obj¿¿¿{"start":{"line":8,"column":53},"end":{"line":8,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
714¿Identifier¿¿1206¿__esModule¿¿¿{"start":{"line":8,"column":57},"end":{"line":8,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
715¿VariableDeclarator¿¿1206¿v74¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
716¿LogicalExpression¿&&¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿LogicalExpression
717¿Identifier¿¿1206¿obj¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
718¿Identifier¿¿1206¿v73¿¿¿¿¿Identifier
719¿VariableDeclarator¿¿1206¿v75¿¿¿{"start":{"line":8,"column":76},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
720¿ObjectExpression¿¿1206¿¿¿¿{"start":{"line":8,"column":76},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ObjectExpression
721¿Property¿¿1206¿¿¿¿{"start":{"line":8,"column":78},"end":{"line":8,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Property
722¿Literal¿string¿1206¿¿'default'¿¿{"start":{"line":8,"column":78},"end":{"line":8,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
723¿Identifier¿¿1206¿obj¿¿¿{"start":{"line":8,"column":89},"end":{"line":8,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
724¿VariableDeclarator¿¿1206¿v76¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
725¿IfStatement¿¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿IfStatement
726¿Identifier¿¿1206¿v74¿¿¿¿¿Identifier
727¿ExpressionStatement¿¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
728¿AssignmentExpression¿=¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿AssignmentExpression
729¿Identifier¿¿1206¿v76¿¿¿¿¿Identifier
730¿Identifier¿¿1206¿obj¿¿¿{"start":{"line":8,"column":70},"end":{"line":8,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
731¿BlockStatement¿¿1206¿¿¿¿¿¿BlockStatement
732¿ExpressionStatement¿¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
733¿AssignmentExpression¿=¿1206¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":94},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿AssignmentExpression
734¿Identifier¿¿1206¿v76¿¿¿¿¿Identifier
735¿Identifier¿¿1206¿v75¿¿¿¿¿Identifier
736¿BlockStatement¿¿1206¿¿¿¿¿¿BlockStatement
737¿ReturnStatement¿¿1206¿¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":95},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ReturnStatement
738¿Identifier¿¿1206¿v76¿¿¿¿¿Identifier
739¿BlockStatement¿¿1206¿¿¿¿{"start":{"line":8,"column":37},"end":{"line":8,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿BlockStatement
740¿VariableDeclarator¿¿1204¿_lodashObjectForOwn¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
741¿CallExpression¿¿1204¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
742¿Identifier¿¿1204¿require¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
743¿Literal¿string¿1204¿¿'lodash/object/forOwn'¿¿{"start":{"line":10,"column":34},"end":{"line":10,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
744¿VariableDeclarator¿¿1204¿_lodashObjectForOwn2¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
745¿CallExpression¿¿1204¿¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
746¿Identifier¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
747¿Identifier¿¿1204¿_lodashObjectForOwn¿¿¿{"start":{"line":12,"column":50},"end":{"line":12,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
748¿VariableDeclarator¿¿1204¿_lodashObjectForIn¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
