Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
795¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":92,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Program
796¿VariableDeclarator¿¿1357¿mime¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
797¿CallExpression¿¿1357¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
798¿Identifier¿¿1357¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
799¿Literal¿string¿1357¿¿'mime'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
800¿VariableDeclarator¿¿1357¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
801¿CallExpression¿¿1357¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
802¿Identifier¿¿1357¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
803¿Literal¿string¿1357¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
804¿VariableDeclarator¿¿1357¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1357¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
806¿Identifier¿¿1357¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
807¿Literal¿string¿1357¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
808¿VariableDeclarator¿¿1357¿crypto¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
809¿CallExpression¿¿1357¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
810¿Identifier¿¿1357¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
811¿Literal¿string¿1357¿¿'crypto'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
812¿VariableDeclarator¿exported¿1357¿File¿¿¿{"start":{"line":6,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
813¿FunctionExpression¿¿1357¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿FunctionExpression
814¿Identifier¿¿0¿req¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
815¿Identifier¿¿0¿res¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
816¿ExpressionStatement¿¿1359¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
817¿AssignmentExpression¿=¿1359¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿AssignmentExpression
818¿MemberExpression¿¿1359¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
819¿ThisExpression¿¿1359¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
820¿Identifier¿¿1359¿req¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
821¿Identifier¿¿1359¿req¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
822¿ExpressionStatement¿¿1359¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
823¿AssignmentExpression¿=¿1359¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿AssignmentExpression
824¿MemberExpression¿¿1359¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
825¿ThisExpression¿¿1359¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
826¿Identifier¿¿1359¿res¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
827¿Identifier¿¿1359¿res¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
828¿ExpressionStatement¿¿1359¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
829¿AssignmentExpression¿=¿1359¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿AssignmentExpression
