Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
781¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":104,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Program
782¿VariableDeclarator¿¿1367¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1367¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
784¿Identifier¿¿1367¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
785¿Literal¿string¿1367¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
786¿VariableDeclarator¿¿1367¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
787¿CallExpression¿¿1367¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
788¿Identifier¿¿1367¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
789¿Literal¿string¿1367¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
790¿VariableDeclarator¿¿1367¿v82¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
791¿CallExpression¿¿1367¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
792¿Identifier¿¿1367¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
793¿Literal¿string¿1367¿¿'./tool/httpHeader'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
794¿VariableDeclarator¿¿1367¿header¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
795¿MemberExpression¿¿1367¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
796¿Identifier¿¿1367¿v82¿¿¿¿¿Identifier
797¿Identifier¿¿1367¿contentType¿¿¿{"start":{"line":3,"column":42},"end":{"line":3,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
798¿VariableDeclarator¿¿1367¿v83¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
799¿CallExpression¿¿1367¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
800¿Identifier¿¿1367¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
801¿Literal¿string¿1367¿¿'./router'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
802¿VariableDeclarator¿¿1367¿route¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
803¿MemberExpression¿¿1367¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
804¿Identifier¿¿1367¿v83¿¿¿¿¿Identifier
805¿Identifier¿¿1367¿response¿¿¿{"start":{"line":4,"column":32},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
806¿VariableDeclarator¿¿1367¿conf¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
807¿CallExpression¿¿1367¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
808¿Identifier¿¿1367¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
809¿Literal¿string¿1367¿¿'./config'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
810¿VariableDeclarator¿¿1367¿responseTemp¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
811¿FunctionExpression¿¿1367¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿FunctionExpression
812¿Identifier¿¿0¿response¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
813¿Identifier¿¿0¿head¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
814¿Identifier¿¿0¿file¿¿¿{"start":{"line":7,"column":38},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
815¿VariableDeclarator¿¿1369¿v84¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
816¿CallExpression¿¿1369¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
817¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
818¿Identifier¿¿1369¿response¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
819¿Identifier¿¿1369¿writeHead¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
820¿Literal¿number¿1369¿¿200¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
821¿Identifier¿¿1369¿head¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
822¿ExpressionStatement¿¿1369¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
823¿Identifier¿¿1369¿v84¿¿¿¿¿Identifier
824¿VariableDeclarator¿¿1369¿v85¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1369¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
826¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
827¿Identifier¿¿1369¿response¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
828¿Identifier¿¿1369¿write¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
829¿Identifier¿¿1369¿file¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
830¿ExpressionStatement¿¿1369¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
831¿Identifier¿¿1369¿v85¿¿¿¿¿Identifier
832¿VariableDeclarator¿¿1369¿v86¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1369¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
834¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
835¿Identifier¿¿1369¿response¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
836¿Identifier¿¿1369¿end¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
837¿ExpressionStatement¿¿1369¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
838¿Identifier¿¿1369¿v86¿¿¿¿¿Identifier
839¿BlockStatement¿¿1369¿¿¿¿{"start":{"line":7,"column":44},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿BlockStatement
840¿EmptyStatement¿¿1367¿¿¿¿{"start":{"line":11,"column":1},"end":{"line":11,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿EmptyStatement
841¿VariableDeclarator¿¿1367¿error¿¿¿{"start":{"line":13,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
842¿FunctionExpression¿¿1367¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿FunctionExpression
843¿Identifier¿¿0¿response¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
844¿Identifier¿¿0¿text¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
845¿VariableDeclarator¿¿1371¿v87¿¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
846¿ObjectExpression¿¿1371¿¿¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ObjectExpression
847¿Property¿¿1371¿¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Property
