Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
977¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":115,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Program
978¿VariableDeclarator¿¿1696¿net¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
979¿CallExpression¿¿1696¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿CallExpression
980¿Identifier¿¿1696¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
981¿Literal¿string¿1696¿¿'net'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
982¿VariableDeclarator¿¿1696¿v128¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
983¿CallExpression¿¿1696¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿CallExpression
984¿Identifier¿¿1696¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
985¿Literal¿string¿1696¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
986¿VariableDeclarator¿¿1696¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
987¿MemberExpression¿¿1696¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
988¿Identifier¿¿1696¿v128¿¿¿¿¿Identifier
989¿Identifier¿¿1696¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
990¿VariableDeclarator¿¿1696¿chr¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
991¿MemberExpression¿¿1696¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
992¿Identifier¿¿1696¿String¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
993¿Identifier¿¿1696¿fromCharCode¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
994¿VariableDeclarator¿¿1696¿base64Encode¿¿¿{"start":{"line":6,"column":4},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
995¿FunctionExpression¿¿1696¿anon¿¿¿{"start":{"line":6,"column":19},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿FunctionExpression
996¿Identifier¿¿0¿string¿¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
997¿VariableDeclarator¿¿1698¿v129¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
998¿NewExpression¿¿1698¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿NewExpression
999¿Identifier¿¿1698¿Buffer¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1000¿Identifier¿¿1698¿string¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
