Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1100¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":110,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Program
1101¿VariableDeclarator¿¿1949¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1102¿CallExpression¿¿1949¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1103¿Identifier¿¿1949¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1104¿Literal¿string¿1949¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1105¿VariableDeclarator¿¿1949¿v102¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1106¿CallExpression¿¿1949¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1107¿Identifier¿¿1949¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1108¿Literal¿string¿1949¿¿'path'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1109¿VariableDeclarator¿¿1949¿resolve¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1110¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1111¿Identifier¿¿1949¿v102¿¿¿¿¿Identifier
1112¿Identifier¿¿1949¿resolve¿¿¿{"start":{"line":6,"column":30},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1113¿VariableDeclarator¿¿1949¿v103¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1114¿CallExpression¿¿1949¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1115¿Identifier¿¿1949¿require¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1116¿Literal¿string¿1949¿¿'path'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1117¿VariableDeclarator¿¿1949¿basename¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1118¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1119¿Identifier¿¿1949¿v103¿¿¿¿¿Identifier
1120¿Identifier¿¿1949¿basename¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1121¿VariableDeclarator¿¿1949¿v104¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1122¿CallExpression¿¿1949¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1123¿Identifier¿¿1949¿require¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1124¿Literal¿string¿1949¿¿'path'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1125¿VariableDeclarator¿¿1949¿join¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1126¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1127¿Identifier¿¿1949¿v104¿¿¿¿¿Identifier
1128¿Identifier¿¿1949¿join¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1129¿VariableDeclarator¿¿1949¿v105¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1130¿CallExpression¿¿1949¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1131¿Identifier¿¿1949¿require¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1132¿Literal¿string¿1949¿¿'path'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1133¿VariableDeclarator¿¿1949¿extname¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1134¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1135¿Identifier¿¿1949¿v105¿¿¿¿¿Identifier
1136¿Identifier¿¿1949¿extname¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1137¿VariableDeclarator¿¿1949¿cwd¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1138¿CallExpression¿¿1949¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1139¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1140¿Identifier¿¿1949¿process¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1141¿Identifier¿¿1949¿cwd¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1142¿VariableDeclarator¿¿1949¿mime¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
