Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1139¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":151,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Program
1140¿VariableDeclarator¿¿1979¿request¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1141¿CallExpression¿¿1979¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1142¿Identifier¿¿1979¿require¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1143¿Literal¿string¿1979¿¿'request'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1144¿VariableDeclarator¿¿1979¿API¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1145¿FunctionExpression¿¿1979¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿FunctionExpression
1146¿Identifier¿¿0¿domain¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1147¿ExpressionStatement¿¿1981¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1148¿AssignmentExpression¿=¿1981¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿AssignmentExpression
1149¿MemberExpression¿¿1981¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1150¿ThisExpression¿¿1981¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ThisExpression
1151¿Identifier¿¿1981¿domain¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1152¿Identifier¿¿1981¿domain¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1153¿BlockStatement¿¿1981¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":5,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BlockStatement
1154¿VariableDeclarator¿¿1979¿v115¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1155¿MemberExpression¿¿1979¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1156¿Identifier¿¿1979¿API¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1157¿Identifier¿¿1979¿prototype¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1158¿VariableDeclarator¿¿1979¿v131¿¿¿{"start":{"line":7,"column":0},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1159¿FunctionExpression¿¿1979¿anon¿¿¿{"start":{"line":7,"column":22},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿FunctionExpression
1160¿Identifier¿¿0¿name¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1161¿Identifier¿¿0¿password¿¿¿{"start":{"line":7,"column":37},"end":{"line":7,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1162¿Identifier¿¿0¿cb¿¿¿{"start":{"line":7,"column":47},"end":{"line":7,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1163¿VariableDeclarator¿¿1983¿domain¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1164¿MemberExpression¿¿1983¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1165¿ThisExpression¿¿1983¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ThisExpression
1166¿Identifier¿¿1983¿domain¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1167¿VariableDeclarator¿¿1983¿v116¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1168¿BinaryExpression¿+¿1983¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BinaryExpression
1169¿Literal¿string¿1983¿¿'http://'¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1170¿Identifier¿¿1983¿domain¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
