Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
637¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":153,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Program
638¿VariableDeclarator¿¿1121¿balanced¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
639¿CallExpression¿¿1121¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿CallExpression
640¿Identifier¿¿1121¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
641¿Literal¿string¿1121¿¿'balanced-match'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
642¿VariableDeclarator¿¿1121¿reduceFunctionCall¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
643¿CallExpression¿¿1121¿¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿CallExpression
644¿Identifier¿¿1121¿require¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
645¿Literal¿string¿1121¿¿'reduce-function-call'¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
646¿VariableDeclarator¿¿1121¿MAX_STACK¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
647¿Literal¿number¿1121¿¿100¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
648¿VariableDeclarator¿¿1121¿NESTED_CALC_RE¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":54},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
649¿Literal¿object¿1121¿¿/(\+|\-|\*|\\|[^a-z]|)(\s*)(\()/g¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":54},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
650¿VariableDeclarator¿¿1121¿stack¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
651¿ExpressionStatement¿¿1121¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
652¿AssignmentExpression¿=¿1121¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
653¿MemberExpression¿¿1121¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿MemberExpression
654¿Identifier¿¿1121¿module¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
655¿Identifier¿¿1121¿exports¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
656¿Identifier¿¿1121¿reduceCSSCalc¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
657¿VariableDeclarator¿exported¿1121¿reduceCSSCalc¿¿¿{"start":{"line":30,"column":0},"end":{"line":126,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
658¿FunctionExpression¿¿1121¿anon¿¿¿{"start":{"line":30,"column":0},"end":{"line":126,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿FunctionExpression
659¿Identifier¿¿0¿value¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
660¿Identifier¿¿0¿decimalPrecision¿¿¿{"start":{"line":30,"column":30},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
661¿ExpressionStatement¿¿1123¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
662¿AssignmentExpression¿=¿1123¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
663¿Identifier¿¿1123¿stack¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
664¿Literal¿number¿1123¿¿0¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
665¿VariableDeclarator¿¿1123¿v59¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
666¿BinaryExpression¿===¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
667¿Identifier¿¿1123¿decimalPrecision¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
668¿Identifier¿¿1123¿undefined¿¿¿{"start":{"line":32,"column":55},"end":{"line":32,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
669¿VariableDeclarator¿¿1123¿v60¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
670¿IfStatement¿¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿IfStatement
671¿Identifier¿¿1123¿v59¿¿¿¿¿Identifier
672¿ExpressionStatement¿¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
673¿AssignmentExpression¿=¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
674¿Identifier¿¿1123¿v60¿¿¿¿¿Identifier
675¿Literal¿number¿1123¿¿5¿¿{"start":{"line":32,"column":67},"end":{"line":32,"column":68},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
676¿BlockStatement¿¿1123¿¿¿¿¿¿BlockStatement
677¿ExpressionStatement¿¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
678¿AssignmentExpression¿=¿1123¿¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
679¿Identifier¿¿1123¿v60¿¿¿¿¿Identifier
680¿Identifier¿¿1123¿decimalPrecision¿¿¿{"start":{"line":32,"column":71},"end":{"line":32,"column":87},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
681¿BlockStatement¿¿1123¿¿¿¿¿¿BlockStatement
682¿ExpressionStatement¿¿1123¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":32,"column":88},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
683¿AssignmentExpression¿=¿1123¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":32,"column":88},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
684¿Identifier¿¿1123¿decimalPrecision¿¿¿{"start":{"line":32,"column":2},"end":{"line":32,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
685¿CallExpression¿¿1123¿¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":88},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿CallExpression
686¿MemberExpression¿¿1123¿¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿MemberExpression
687¿Identifier¿¿1123¿Math¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
688¿Identifier¿¿1123¿pow¿¿¿{"start":{"line":32,"column":26},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
689¿Literal¿number¿1123¿¿10¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
690¿Identifier¿¿1123¿v60¿¿¿¿¿Identifier
691¿VariableDeclarator¿¿1123¿evaluateExpression¿¿¿{"start":{"line":40,"column":2},"end":{"line":94,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
