Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
682¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":129,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Program
683¿ExpressionStatement¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
684¿Literal¿string¿¿'use strict'¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
685¿VariableDeclarator¿¿extend¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
686¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
687¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
688¿Literal¿string¿¿'extend'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
689¿VariableDeclarator¿¿abind¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
690¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
691¿Identifier¿¿require¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
692¿Literal¿string¿¿'abind'¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
693¿VariableDeclarator¿¿isArrayKey¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
694¿CallExpression¿¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
695¿Identifier¿¿require¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
696¿Literal¿string¿¿'./key/is_array_key'¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
697¿VariableDeclarator¿¿fromArrayKey¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
698¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
699¿Identifier¿¿require¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
700¿Literal¿string¿¿'./key/from_array_key'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
701¿VariableDeclarator¿¿toArrayKey¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
702¿CallExpression¿¿¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
703¿Identifier¿¿require¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
704¿Literal¿string¿¿'./key/to_array_key'¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
705¿VariableDeclarator¿exported¿Objnest¿¿¿¿¿VariableDeclarator
706¿FunctionExpression¿¿anon¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿FunctionExpression
707¿Identifier¿¿config¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
708¿VariableDeclarator¿¿v55¿¿¿¿¿VariableDeclarator
709¿ObjectExpression¿¿¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ObjectExpression
710¿VariableDeclarator¿¿v56¿¿¿¿¿VariableDeclarator
711¿LogicalExpression¿||¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿LogicalExpression
712¿Identifier¿¿config¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
713¿Identifier¿¿v55¿¿¿¿¿Identifier
714¿VariableDeclarator¿¿v57¿¿¿¿¿VariableDeclarator
715¿CallExpression¿¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
716¿Identifier¿¿extend¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
717¿ThisExpression¿¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
718¿Identifier¿¿v56¿¿¿¿¿Identifier
719¿ExpressionStatement¿¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
720¿Identifier¿¿v57¿¿¿¿¿Identifier
721¿VariableDeclarator¿¿v58¿¿¿¿¿VariableDeclarator
722¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
723¿Identifier¿¿abind¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
