Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
18915¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":2319,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Program
18916¿VariableDeclarator¿¿33405¿v1899¿¿¿{"start":{"line":9,"column":1},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18917¿FunctionExpression¿¿33405¿anon¿¿¿{"start":{"line":9,"column":1},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿FunctionExpression
18918¿Identifier¿¿0¿global¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18919¿Identifier¿¿0¿factory¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18920¿VariableDeclarator¿¿33407¿v1885¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18921¿UnaryExpression¿typeof¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿UnaryExpression
18922¿Identifier¿¿33407¿exports¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18923¿VariableDeclarator¿¿33407¿v1886¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18924¿BinaryExpression¿===¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BinaryExpression
18925¿Identifier¿¿33407¿v1885¿¿¿¿¿Identifier
18926¿Literal¿string¿33407¿¿'object'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Literal
18927¿VariableDeclarator¿¿33407¿v1887¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18928¿UnaryExpression¿typeof¿33407¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿UnaryExpression
18929¿Identifier¿¿33407¿module¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18930¿VariableDeclarator¿¿33407¿v1888¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18931¿BinaryExpression¿!==¿33407¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BinaryExpression
18932¿Identifier¿¿33407¿v1887¿¿¿¿¿Identifier
18933¿Literal¿string¿33407¿¿'undefined'¿¿{"start":{"line":10,"column":51},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Literal
18934¿VariableDeclarator¿¿33407¿v1889¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18935¿LogicalExpression¿&&¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿LogicalExpression
18936¿Identifier¿¿33407¿v1886¿¿¿¿¿Identifier
18937¿Identifier¿¿33407¿v1888¿¿¿¿¿Identifier
18938¿VariableDeclarator¿¿33407¿v1890¿¿¿{"start":{"line":10,"column":65},"end":{"line":10,"column":91},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18939¿CallExpression¿¿33407¿¿¿¿{"start":{"line":10,"column":82},"end":{"line":10,"column":91},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿CallExpression
18940¿Identifier¿¿33407¿factory¿¿¿{"start":{"line":10,"column":82},"end":{"line":10,"column":89},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18941¿VariableDeclarator¿¿33407¿v1891¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18942¿UnaryExpression¿typeof¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿UnaryExpression
18943¿Identifier¿¿33407¿define¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18944¿VariableDeclarator¿¿33407¿v1892¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18945¿BinaryExpression¿===¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BinaryExpression
18946¿Identifier¿¿33407¿v1891¿¿¿¿¿Identifier
18947¿Literal¿string¿33407¿¿'function'¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Literal
