Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1067¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":231,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Program
1068¿ExpressionStatement¿¿1850¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ExpressionStatement
1069¿Literal¿string¿1850¿¿'use strict'¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1070¿VariableDeclarator¿¿1850¿async¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1071¿CallExpression¿¿1850¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1072¿Identifier¿¿1850¿require¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1073¿Literal¿string¿1850¿¿'async'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1074¿VariableDeclarator¿¿1850¿merge¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1075¿CallExpression¿¿1850¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1076¿Identifier¿¿1850¿require¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1077¿Literal¿string¿1850¿¿'deepmerge'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1078¿VariableDeclarator¿¿1850¿caller¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
