Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
801¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":111,"column":142},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Program
802¿VariableDeclarator¿¿1417¿os¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
803¿CallExpression¿¿1417¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
804¿Identifier¿¿1417¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
805¿Literal¿string¿1417¿¿'os'¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
806¿VariableDeclarator¿¿1417¿http¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
807¿CallExpression¿¿1417¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
808¿Identifier¿¿1417¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
809¿Literal¿string¿1417¿¿'http'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
810¿VariableDeclarator¿¿1417¿url¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
811¿CallExpression¿¿1417¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
812¿Identifier¿¿1417¿require¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
813¿Literal¿string¿1417¿¿'url'¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
814¿VariableDeclarator¿¿1417¿qs¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
815¿CallExpression¿¿1417¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
816¿Identifier¿¿1417¿require¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
817¿Literal¿string¿1417¿¿'querystring'¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
818¿VariableDeclarator¿¿1417¿path¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
819¿CallExpression¿¿1417¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
820¿Identifier¿¿1417¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
821¿Literal¿string¿1417¿¿'path'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
822¿VariableDeclarator¿¿1417¿fs¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
823¿CallExpression¿¿1417¿¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
824¿Identifier¿¿1417¿require¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
825¿Literal¿string¿1417¿¿'fs'¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
826¿VariableDeclarator¿¿1417¿mime¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
827¿CallExpression¿¿1417¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
828¿Identifier¿¿1417¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
829¿Literal¿string¿1417¿¿'mime'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
830¿VariableDeclarator¿¿1417¿ct¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
831¿Literal¿number¿1417¿¿0¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
832¿VariableDeclarator¿¿1417¿v84¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
833¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
834¿Identifier¿¿1417¿process¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
835¿Identifier¿¿1417¿argv¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
836¿VariableDeclarator¿¿1417¿v85¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
837¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
838¿Identifier¿¿1417¿v84¿¿¿¿¿Identifier
839¿Literal¿number¿1417¿¿2¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
840¿VariableDeclarator¿¿1417¿v86¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
841¿CallExpression¿¿1417¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
842¿Identifier¿¿1417¿parseInt¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
843¿Identifier¿¿1417¿v85¿¿¿¿¿Identifier
844¿Literal¿number¿1417¿¿10¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
845¿VariableDeclarator¿¿1417¿port¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
846¿LogicalExpression¿||¿1417¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿LogicalExpression
847¿Identifier¿¿1417¿v86¿¿¿¿¿Identifier
848¿Literal¿number¿1417¿¿8888¿¿{"start":{"line":11,"column":44},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
