Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4880¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":811,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Program
4881¿VariableDeclarator¿¿v485¿¿¿¿¿VariableDeclarator
4882¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
4883¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4884¿Literal¿string¿¿'./object-mask'¿¿{"start":{"line":5,"column":29},"end":{"line":5,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4885¿ExpressionStatement¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ExpressionStatement
4886¿AssignmentExpression¿=¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿AssignmentExpression
4887¿MemberExpression¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
4888¿Identifier¿¿exports¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4889¿Identifier¿¿ObjectMask¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4890¿Identifier¿¿v485¿¿¿¿¿Identifier
4891¿VariableDeclarator¿¿_¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿VariableDeclarator
4892¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
4893¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4894¿Literal¿string¿¿'lodash'¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4895¿VariableDeclarator¿¿crypto¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿VariableDeclarator
4896¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
4897¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4898¿Literal¿string¿¿'crypto'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4899¿VariableDeclarator¿exported¿isScalar¿¿¿¿¿VariableDeclarator
4900¿FunctionExpression¿¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿FunctionExpression
