Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2727¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":365,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Program
2728¿VariableDeclarator¿¿4856¿equalsOptions¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2729¿ObjectExpression¿¿4856¿¿¿¿¿¿ObjectExpression
2730¿ExpressionStatement¿¿4856¿¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2731¿AssignmentExpression¿=¿4856¿¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2732¿MemberExpression¿¿4856¿¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2733¿Identifier¿¿4856¿equalsOptions¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2734¿Identifier¿¿4856¿strict¿¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2735¿Literal¿boolean¿4856¿¿true¿¿{"start":{"line":1,"column":30},"end":{"line":1,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Literal
2736¿VariableDeclarator¿¿4856¿_equals¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2737¿CallExpression¿¿4856¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿CallExpression
2738¿Identifier¿¿4856¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2739¿Literal¿string¿4856¿¿'deep-equal'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Literal
2740¿VariableDeclarator¿¿4856¿areEquals¿¿¿{"start":{"line":3,"column":4},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2741¿FunctionExpression¿¿4856¿anon¿¿¿{"start":{"line":3,"column":16},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿FunctionExpression
2742¿Identifier¿¿0¿a¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2743¿Identifier¿¿0¿b¿¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2744¿VariableDeclarator¿¿4858¿v257¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2745¿CallExpression¿¿4858¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿CallExpression
2746¿Identifier¿¿4858¿_equals¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2747¿Identifier¿¿4858¿a¿¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2748¿Identifier¿¿4858¿b¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2749¿Identifier¿¿4858¿equalsOptions¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2750¿ReturnStatement¿¿4858¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ReturnStatement
2751¿Identifier¿¿4858¿v257¿¿¿¿¿Identifier
2752¿BlockStatement¿¿4858¿¿¿¿{"start":{"line":3,"column":32},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿BlockStatement
2753¿VariableDeclarator¿¿4856¿helpers_1¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2754¿CallExpression¿¿4856¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿CallExpression
2755¿Identifier¿¿4856¿require¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2756¿Literal¿string¿4856¿¿'./helpers'¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Literal
2757¿VariableDeclarator¿¿4856¿v258¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2758¿MemberExpression¿¿4856¿¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2759¿Identifier¿¿4856¿helpers_1¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2760¿Identifier¿¿4856¿PatchError¿¿¿{"start":{"line":7,"column":35},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2761¿ExpressionStatement¿¿4856¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2762¿AssignmentExpression¿=¿4856¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2763¿MemberExpression¿¿4856¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2764¿Identifier¿¿4856¿exports¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2765¿Identifier¿¿4856¿JsonPatchError¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2766¿Identifier¿¿4856¿v258¿¿¿¿¿Identifier
2767¿VariableDeclarator¿¿4856¿v259¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
