Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1107¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Program
1108¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1109¿Literal¿string¿1962¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1110¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1111¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1112¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1113¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1114¿Identifier¿¿1962¿__esModule¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1115¿Literal¿boolean¿1962¿¿true¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1116¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1117¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1118¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1119¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1120¿Identifier¿¿1962¿deleteProps¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1121¿Identifier¿¿1962¿deleteProps¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1122¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1123¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1124¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1125¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1126¿Identifier¿¿1962¿nextTick¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1127¿Identifier¿¿1962¿nextTick¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1128¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1129¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1130¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1131¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
