Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
875¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":174,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Program
876¿VariableDeclarator¿¿1495¿cp¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
877¿CallExpression¿¿1495¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
878¿Identifier¿¿1495¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
879¿Literal¿string¿1495¿¿'child_process'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
880¿VariableDeclarator¿exported¿1495¿curl¿¿¿{"start":{"line":15,"column":4},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
881¿FunctionExpression¿¿1495¿anon¿¿¿{"start":{"line":15,"column":11},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿FunctionExpression
882¿Identifier¿¿0¿url¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
883¿Identifier¿¿0¿options¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
884¿Identifier¿¿0¿callback¿¿¿{"start":{"line":15,"column":34},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
885¿VariableDeclarator¿¿1497¿v63¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
886¿FunctionExpression¿¿1497¿anon¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿FunctionExpression
887¿BlockStatement¿¿1499¿¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
888¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
