Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3501¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":561,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Program
3502¿ExpressionStatement¿¿6172¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3503¿Literal¿string¿6172¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3504¿VariableDeclarator¿¿6172¿_process¿¿¿{"start":{"line":3,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3505¿FunctionExpression¿¿6172¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿FunctionExpression
3506¿Identifier¿¿0¿v¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3507¿Identifier¿¿0¿mod¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3508¿VariableDeclarator¿¿6174¿i¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3509¿VariableDeclarator¿¿6174¿r¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3510¿VariableDeclarator¿¿6174¿v374¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3511¿UnaryExpression¿typeof¿6174¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿UnaryExpression
3512¿Identifier¿¿6174¿mod¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3513¿VariableDeclarator¿¿6174¿v375¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3514¿BinaryExpression¿===¿6174¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3515¿Identifier¿¿6174¿v374¿¿¿¿¿Identifier
3516¿Literal¿string¿6174¿¿'function'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3517¿IfStatement¿¿6174¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿IfStatement
3518¿Identifier¿¿6174¿v375¿¿¿¿¿Identifier
3519¿ExpressionStatement¿¿6174¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3520¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3521¿Identifier¿¿6174¿r¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3522¿CallExpression¿¿6174¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3523¿Identifier¿¿6174¿mod¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3524¿Identifier¿¿6174¿v¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3525¿VariableDeclarator¿¿6174¿v376¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3526¿BinaryExpression¿!==¿6174¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3527¿Identifier¿¿6174¿r¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3528¿Identifier¿¿6174¿undefined¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3529¿IfStatement¿¿6174¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿IfStatement
3530¿Identifier¿¿6174¿v376¿¿¿¿¿Identifier
3531¿ExpressionStatement¿¿6174¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3532¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3533¿Identifier¿¿6174¿v¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3534¿Identifier¿¿6174¿r¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3535¿BlockStatement¿¿6174¿¿¿¿{"start":{"line":9,"column":25},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3536¿BlockStatement¿¿6174¿¿¿¿{"start":{"line":7,"column":33},"end":{"line":12,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3537¿VariableDeclarator¿¿6174¿v377¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3538¿CallExpression¿¿6174¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3539¿MemberExpression¿¿6174¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3540¿Identifier¿¿6174¿Array¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3541¿Identifier¿¿6174¿isArray¿¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3542¿Identifier¿¿6174¿mod¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3543¿IfStatement¿¿6174¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿IfStatement
3544¿Identifier¿¿6174¿v377¿¿¿¿¿Identifier
3545¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3546¿Identifier¿¿6174¿i¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3547¿Literal¿number¿6174¿¿0¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3548¿VariableDeclarator¿¿6174¿v378¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3549¿MemberExpression¿¿6174¿¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3550¿Identifier¿¿6174¿mod¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3551¿Identifier¿¿6174¿length¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3552¿VariableDeclarator¿¿6174¿v379¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3553¿BinaryExpression¿<¿6174¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3554¿Identifier¿¿6174¿i¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3555¿Identifier¿¿6174¿v378¿¿¿¿¿Identifier
3556¿WhileStatement¿¿6174¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿WhileStatement
3557¿Identifier¿¿6174¿v379¿¿¿¿¿Identifier
3558¿ExpressionStatement¿¿6174¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3559¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3560¿Identifier¿¿6174¿r¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3561¿CallExpression¿¿6174¿¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3562¿MemberExpression¿computed¿6174¿¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3563¿Identifier¿¿6174¿mod¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3564¿Identifier¿¿6174¿i¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3565¿Identifier¿¿6174¿v¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3566¿VariableDeclarator¿¿6174¿v381¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3567¿BinaryExpression¿!==¿6174¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3568¿Identifier¿¿6174¿r¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3569¿Identifier¿¿6174¿undefined¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3570¿IfStatement¿¿6174¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":17,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿IfStatement
3571¿Identifier¿¿6174¿v381¿¿¿¿¿Identifier
3572¿ExpressionStatement¿¿6174¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3573¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3574¿Identifier¿¿6174¿v¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3575¿Identifier¿¿6174¿r¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3576¿BlockStatement¿¿6174¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":17,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3577¿VariableDeclarator¿¿6174¿v380¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3578¿UpdateExpression¿¿6174¿¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿UpdateExpression
3579¿Identifier¿¿6174¿i¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3580¿ExpressionStatement¿¿6174¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ExpressionStatement
3581¿AssignmentExpression¿=¿6174¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿AssignmentExpression
3582¿Identifier¿¿6174¿v379¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3583¿BinaryExpression¿<¿6174¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3584¿Identifier¿¿6174¿i¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3585¿Identifier¿¿6174¿v378¿¿¿¿¿Identifier
3586¿BlockStatement¿¿6174¿¿¿¿¿¿BlockStatement
3587¿BlockStatement¿¿6174¿¿¿¿{"start":{"line":12,"column":33},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3588¿BlockStatement¿¿6174¿¿¿¿¿¿BlockStatement
3589¿ReturnStatement¿¿6174¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ReturnStatement
3590¿Identifier¿¿6174¿v¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3591¿BlockStatement¿¿6174¿¿¿¿{"start":{"line":3,"column":27},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3592¿VariableDeclarator¿¿6172¿parseKey¿¿¿{"start":{"line":24,"column":0},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3593¿FunctionExpression¿¿6172¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿FunctionExpression
3594¿Identifier¿¿0¿key¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3595¿Identifier¿¿0¿val¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3596¿VariableDeclarator¿¿6181¿v382¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3597¿MemberExpression¿computed¿6181¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3598¿Identifier¿¿6181¿key¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
