Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
635¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":90,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Program
636¿VariableDeclarator¿¿1098¿child_process¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
637¿CallExpression¿¿1098¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
638¿Identifier¿¿1098¿require¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
639¿Literal¿string¿1098¿¿'child_process'¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
640¿VariableDeclarator¿¿1098¿_¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
641¿CallExpression¿¿1098¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
642¿Identifier¿¿1098¿require¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
643¿Literal¿string¿1098¿¿'lodash'¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
644¿VariableDeclarator¿¿1098¿v57¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
645¿CallExpression¿¿1098¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
646¿Identifier¿¿1098¿require¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
647¿Literal¿string¿1098¿¿'underscore.deferred'¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
648¿VariableDeclarator¿¿1098¿v58¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
649¿CallExpression¿¿1098¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
650¿MemberExpression¿¿1098¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
651¿Identifier¿¿1098¿_¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
652¿Identifier¿¿1098¿mixin¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
653¿Identifier¿¿1098¿v57¿¿¿¿¿Identifier
654¿ExpressionStatement¿¿1098¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
