Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
608¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":175,"column":97},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Program
609¿EmptyStatement¿¿1059¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿EmptyStatement
610¿VariableDeclarator¿¿1059¿v100¿¿¿{"start":{"line":10,"column":2},"end":{"line":175,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿VariableDeclarator
611¿FunctionExpression¿¿1059¿anon¿¿¿{"start":{"line":10,"column":2},"end":{"line":175,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿FunctionExpression
612¿Identifier¿¿0¿isNode¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Identifier
613¿VariableDeclarator¿exported¿1061¿Public¿¿¿{"start":{"line":19,"column":5},"end":{"line":23,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿VariableDeclarator
614¿FunctionExpression¿¿1061¿anon¿¿¿{"start":{"line":19,"column":14},"end":{"line":23,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿FunctionExpression
615¿Identifier¿¿0¿clone¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Identifier
616¿VariableDeclarator¿¿1063¿v56¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿VariableDeclarator
617¿BinaryExpression¿===¿1063¿¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿BinaryExpression
618¿Identifier¿¿1063¿clone¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Identifier
619¿Literal¿boolean¿1063¿¿true¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Literal
620¿VariableDeclarator¿¿1063¿v57¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿VariableDeclarator
621¿CallExpression¿¿1063¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿CallExpression
622¿Identifier¿¿1063¿merge¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Identifier
623¿Identifier¿¿1063¿v56¿¿¿¿¿Identifier
624¿Literal¿boolean¿1063¿¿false¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Literal
625¿Identifier¿¿1063¿arguments¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿Identifier
626¿ReturnStatement¿¿1063¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/722/src/merge.js"}¿¿ReturnStatement
627¿Identifier¿¿1063¿v57¿¿¿¿¿Identifier
