Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
756¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":85,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Program
757¿VariableDeclarator¿¿1307¿http¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
758¿CallExpression¿¿1307¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
759¿Identifier¿¿1307¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
760¿Literal¿string¿1307¿¿'http'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Literal
761¿VariableDeclarator¿¿1307¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
762¿CallExpression¿¿1307¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
763¿Identifier¿¿1307¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
764¿Literal¿string¿1307¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Literal
765¿VariableDeclarator¿¿1307¿rootPath¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
766¿CallExpression¿¿1307¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
767¿MemberExpression¿¿1307¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
768¿Identifier¿¿1307¿process¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
769¿Identifier¿¿1307¿cwd¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
770¿VariableDeclarator¿¿1307¿path¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
