Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2361¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":271,"column":66},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Program
2362¿VariableDeclarator¿¿4142¿v254¿¿¿{"start":{"line":1,"column":1},"end":{"line":1,"column":173},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2363¿FunctionExpression¿¿4142¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":1,"column":173},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿FunctionExpression
2364¿Identifier¿¿0¿g¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2365¿Identifier¿¿0¿f¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2366¿VariableDeclarator¿¿4144¿v240¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2367¿UnaryExpression¿typeof¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2368¿Identifier¿¿4144¿exports¿¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2369¿VariableDeclarator¿¿4144¿v241¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2370¿BinaryExpression¿===¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2371¿Identifier¿¿4144¿v240¿¿¿¿¿Identifier
2372¿Literal¿string¿4144¿¿'object'¿¿{"start":{"line":1,"column":32},"end":{"line":1,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2373¿VariableDeclarator¿¿4144¿v242¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2374¿UnaryExpression¿typeof¿4144¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2375¿Identifier¿¿4144¿module¿¿¿{"start":{"line":1,"column":49},"end":{"line":1,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2376¿VariableDeclarator¿¿4144¿v243¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2377¿BinaryExpression¿!==¿4144¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2378¿Identifier¿¿4144¿v242¿¿¿¿¿Identifier
2379¿Literal¿string¿4144¿¿'undefined'¿¿{"start":{"line":1,"column":58},"end":{"line":1,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2380¿VariableDeclarator¿¿4144¿v244¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2381¿LogicalExpression¿&&¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿LogicalExpression
2382¿Identifier¿¿4144¿v241¿¿¿¿¿Identifier
2383¿Identifier¿¿4144¿v243¿¿¿¿¿Identifier
