Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
868¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":95,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Program
869¿VariableDeclarator¿¿1515¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
870¿VariableDeclarator¿¿1515¿gfmSrv¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
871¿VariableDeclarator¿¿1515¿mdExts¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
872¿VariableDeclarator¿¿1515¿path¿¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
873¿VariableDeclarator¿¿1515¿pkg¿¿¿{"start":{"line":1,"column":30},"end":{"line":1,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
874¿VariableDeclarator¿¿1515¿render¿¿¿{"start":{"line":1,"column":35},"end":{"line":1,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
875¿VariableDeclarator¿¿1515¿srv¿¿¿{"start":{"line":1,"column":43},"end":{"line":1,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
876¿VariableDeclarator¿¿1515¿url¿¿¿{"start":{"line":1,"column":48},"end":{"line":1,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
877¿VariableDeclarator¿¿1515¿_¿¿¿{"start":{"line":1,"column":53},"end":{"line":1,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
878¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
879¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
880¿Identifier¿¿1515¿fs¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
881¿CallExpression¿¿1515¿¿¿¿{"start":{"line":3,"column":5},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
882¿Identifier¿¿1515¿require¿¿¿{"start":{"line":3,"column":5},"end":{"line":3,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
883¿Literal¿string¿1515¿¿'fs'¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
884¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
885¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
886¿Identifier¿¿1515¿url¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
887¿CallExpression¿¿1515¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
888¿Identifier¿¿1515¿require¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
889¿Literal¿string¿1515¿¿'url'¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
890¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
891¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
892¿Identifier¿¿1515¿path¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
893¿CallExpression¿¿1515¿¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
894¿Identifier¿¿1515¿require¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
895¿Literal¿string¿1515¿¿'path'¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
896¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
897¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
898¿Identifier¿¿1515¿srv¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
899¿CallExpression¿¿1515¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
900¿Identifier¿¿1515¿require¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
901¿Literal¿string¿1515¿¿'node-srv'¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
902¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
903¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
904¿Identifier¿¿1515¿_¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
905¿CallExpression¿¿1515¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
906¿Identifier¿¿1515¿require¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
907¿Literal¿string¿1515¿¿'underscore'¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
908¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
909¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
910¿Identifier¿¿1515¿render¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
911¿CallExpression¿¿1515¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
912¿Identifier¿¿1515¿require¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
913¿Literal¿string¿1515¿¿'./renderer'¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
914¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
915¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
916¿Identifier¿¿1515¿pkg¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
917¿CallExpression¿¿1515¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
918¿Identifier¿¿1515¿require¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
919¿Literal¿string¿1515¿¿'../package.json'¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
