Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1922¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":290,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Program
1923¿VariableDeclarator¿¿3410¿v175¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1924¿CallExpression¿¿3410¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
1925¿Identifier¿¿3410¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1926¿Literal¿string¿3410¿¿'child_process'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1927¿VariableDeclarator¿¿3410¿exec¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1928¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1929¿Identifier¿¿3410¿v175¿¿¿¿¿Identifier
1930¿Identifier¿¿3410¿exec¿¿¿{"start":{"line":7,"column":36},"end":{"line":7,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1931¿VariableDeclarator¿¿3410¿fs¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1932¿CallExpression¿¿3410¿¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
