Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1158¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":185,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Program
1159¿VariableDeclarator¿¿2043¿v126¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1160¿CallExpression¿¿2043¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1161¿Identifier¿¿2043¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1162¿Literal¿string¿2043¿¿'child_process'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1163¿VariableDeclarator¿¿2043¿exec¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1164¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1165¿Identifier¿¿2043¿v126¿¿¿¿¿Identifier
1166¿Identifier¿¿2043¿exec¿¿¿{"start":{"line":1,"column":36},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1167¿VariableDeclarator¿¿2043¿aspect¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1168¿CallExpression¿¿2043¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
