Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8758¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":1059,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Program
8759¿VariableDeclarator¿¿15168¿v1567¿¿¿{"start":{"line":9,"column":1},"end":{"line":1059,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8760¿FunctionExpression¿¿15168¿anon¿¿¿{"start":{"line":9,"column":1},"end":{"line":1059,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿FunctionExpression
8761¿VariableDeclarator¿¿15170¿root¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8762¿ThisExpression¿¿15170¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿ThisExpression
8763¿VariableDeclarator¿¿15170¿previousUnderscore¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8764¿MemberExpression¿¿15170¿¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿MemberExpression
8765¿Identifier¿¿15170¿root¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
8766¿Identifier¿¿15170¿_¿¿¿{"start":{"line":18,"column":32},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
8767¿VariableDeclarator¿¿15170¿breaker¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8768¿ObjectExpression¿¿15170¿¿¿¿¿¿ObjectExpression
8769¿VariableDeclarator¿¿15170¿ArrayProto¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8770¿MemberExpression¿¿15170¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿MemberExpression
8771¿Identifier¿¿15170¿Array¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
8772¿Identifier¿¿15170¿prototype¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
8773¿VariableDeclarator¿¿15170¿ObjProto¿¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":63},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿VariableDeclarator
8774¿MemberExpression¿¿15170¿¿¿¿{"start":{"line":24,"column":47},"end":{"line":24,"column":63},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿MemberExpression
8775¿Identifier¿¿15170¿Object¿¿¿{"start":{"line":24,"column":47},"end":{"line":24,"column":53},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
8776¿Identifier¿¿15170¿prototype¿¿¿{"start":{"line":24,"column":54},"end":{"line":24,"column":63},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-cf4h-3jhx-xvhq/src/underscore.js"}¿¿Identifier
