Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
871¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":130,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Program
872¿VariableDeclarator¿exported¿1503¿v85¿¿¿{"start":{"line":11,"column":7},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
873¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":11,"column":7},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿FunctionExpression
874¿Identifier¿¿0¿object¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
875¿Identifier¿¿0¿path¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
876¿Identifier¿¿0¿value¿¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
877¿VariableDeclarator¿¿1505¿reference¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
878¿CallExpression¿¿1505¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿CallExpression
879¿MemberExpression¿¿1505¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
880¿Identifier¿¿1505¿Reference¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
881¿Identifier¿¿1505¿createFromPath¿¿¿{"start":{"line":12,"column":30},"end":{"line":12,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
882¿Identifier¿¿1505¿object¿¿¿{"start":{"line":12,"column":45},"end":{"line":12,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
883¿Identifier¿¿1505¿path¿¿¿{"start":{"line":12,"column":53},"end":{"line":12,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
884¿VariableDeclarator¿¿1505¿v83¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1505¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿CallExpression
886¿MemberExpression¿¿1505¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
887¿Identifier¿¿1505¿reference¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
888¿Identifier¿¿1505¿set¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
889¿Identifier¿¿1505¿value¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
890¿ExpressionStatement¿¿1505¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
891¿Identifier¿¿1505¿v83¿¿¿¿¿Identifier
892¿VariableDeclarator¿¿1505¿v84¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
893¿CallExpression¿¿1505¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿CallExpression
894¿MemberExpression¿¿1505¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
