Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
729¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":49,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Program
730¿VariableDeclarator¿¿1287¿v107¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":280},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
731¿FunctionExpression¿¿1287¿anon¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":280},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿FunctionExpression
732¿Identifier¿¿0¿e¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
733¿VariableDeclarator¿¿1289¿v85¿¿¿{"start":{"line":2,"column":26},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
734¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":26},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
735¿Identifier¿¿1289¿exports¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
736¿VariableDeclarator¿¿1289¿v86¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
737¿BinaryExpression¿==¿1289¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
738¿Literal¿string¿1289¿¿'object'¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
739¿Identifier¿¿1289¿v85¿¿¿¿¿Identifier
740¿VariableDeclarator¿¿1289¿v87¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
741¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
742¿Identifier¿¿1289¿module¿¿¿{"start":{"line":2,"column":62},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
743¿VariableDeclarator¿¿1289¿v88¿¿¿{"start":{"line":2,"column":42},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
744¿BinaryExpression¿!=¿1289¿¿¿¿{"start":{"line":2,"column":42},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
745¿Literal¿string¿1289¿¿'undefined'¿¿{"start":{"line":2,"column":42},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
746¿Identifier¿¿1289¿v87¿¿¿¿¿Identifier
747¿VariableDeclarator¿¿1289¿v89¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
748¿LogicalExpression¿&&¿1289¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿LogicalExpression
749¿Identifier¿¿1289¿v86¿¿¿¿¿Identifier
750¿Identifier¿¿1289¿v88¿¿¿¿¿Identifier
751¿IfStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":279},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿IfStatement
752¿Identifier¿¿1289¿v89¿¿¿¿¿Identifier
753¿VariableDeclarator¿¿1289¿v90¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
754¿CallExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":84},"end":{"line":2,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿CallExpression
755¿Identifier¿¿1289¿e¿¿¿{"start":{"line":2,"column":84},"end":{"line":2,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
756¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":88},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
757¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
758¿MemberExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿MemberExpression
759¿Identifier¿¿1289¿module¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
760¿Identifier¿¿1289¿exports¿¿¿{"start":{"line":2,"column":76},"end":{"line":2,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
761¿Identifier¿¿1289¿v90¿¿¿¿¿Identifier
762¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
763¿VariableDeclarator¿¿1289¿v91¿¿¿{"start":{"line":2,"column":108},"end":{"line":2,"column":121},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
764¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":108},"end":{"line":2,"column":121},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
765¿Identifier¿¿1289¿define¿¿¿{"start":{"line":2,"column":115},"end":{"line":2,"column":121},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
766¿VariableDeclarator¿¿1289¿v92¿¿¿{"start":{"line":2,"column":96},"end":{"line":2,"column":121},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
