Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7302¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":781,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Program
7303¿VariableDeclarator¿¿12983¿v974¿¿¿{"start":{"line":1,"column":1},"end":{"line":305,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7304¿FunctionExpression¿¿12983¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":305,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿FunctionExpression
7305¿VariableDeclarator¿¿12985¿v710¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7306¿ObjectExpression¿¿12985¿¿¿¿¿¿ObjectExpression
7307¿VariableDeclarator¿¿12985¿v711¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7308¿FunctionExpression¿¿12985¿anon¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿FunctionExpression
7309¿BlockStatement¿¿12987¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BlockStatement
7310¿VariableDeclarator¿¿12985¿v739¿¿¿{"start":{"line":7,"column":15},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7311¿FunctionExpression¿¿12985¿anon¿¿¿{"start":{"line":7,"column":15},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿FunctionExpression
7312¿VariableDeclarator¿¿12989¿config¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7313¿ObjectExpression¿¿12989¿¿¿¿¿¿ObjectExpression
7314¿VariableDeclarator¿¿12989¿v712¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7315¿UnaryExpression¿typeof¿12989¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿UnaryExpression
7316¿Identifier¿¿12989¿window¿¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7317¿VariableDeclarator¿¿12989¿v713¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7318¿BinaryExpression¿!==¿12989¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BinaryExpression
7319¿Identifier¿¿12989¿v712¿¿¿¿¿Identifier
7320¿Literal¿string¿12989¿¿'undefined'¿¿{"start":{"line":9,"column":34},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7321¿VariableDeclarator¿¿12989¿v714¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7322¿LogicalExpression¿&&¿12989¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿LogicalExpression
7323¿Identifier¿¿12989¿v713¿¿¿¿¿Identifier
7324¿Identifier¿¿12989¿window¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7325¿VariableDeclarator¿¿12989¿v715¿¿¿{"start":{"line":9,"column":59},"end":{"line":9,"column":74},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7326¿UnaryExpression¿typeof¿12989¿¿¿¿{"start":{"line":9,"column":59},"end":{"line":9,"column":74},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿UnaryExpression
7327¿Identifier¿¿12989¿document¿¿¿{"start":{"line":9,"column":66},"end":{"line":9,"column":74},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7328¿VariableDeclarator¿¿12989¿v716¿¿¿{"start":{"line":9,"column":59},"end":{"line":9,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7329¿BinaryExpression¿!==¿12989¿¿¿¿{"start":{"line":9,"column":59},"end":{"line":9,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BinaryExpression
7330¿Identifier¿¿12989¿v715¿¿¿¿¿Identifier
7331¿Literal¿string¿12989¿¿'undefined'¿¿{"start":{"line":9,"column":79},"end":{"line":9,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7332¿VariableDeclarator¿¿12989¿v717¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7333¿LogicalExpression¿&&¿12989¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿LogicalExpression
7334¿Identifier¿¿12989¿v714¿¿¿¿¿Identifier
7335¿Identifier¿¿12989¿v716¿¿¿¿¿Identifier
