Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
609¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Program
610¿ExpressionStatement¿¿1093¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
611¿Literal¿string¿1093¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
612¿VariableDeclarator¿exported¿1093¿undefsafe¿¿¿{"start":{"line":3,"column":0},"end":{"line":109,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
613¿FunctionExpression¿¿1093¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":109,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿FunctionExpression
614¿Identifier¿¿0¿obj¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
615¿Identifier¿¿0¿path¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
616¿Identifier¿¿0¿value¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
617¿Identifier¿¿0¿__res¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
618¿VariableDeclarator¿¿1095¿split¿¿¿{"start":{"line":7,"column":2},"end":{"line":41,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
619¿FunctionExpression¿¿1095¿anon¿¿¿{"start":{"line":7,"column":2},"end":{"line":41,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿FunctionExpression
