Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
661¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":83,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Program
662¿VariableDeclarator¿¿1127¿chalk¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
663¿CallExpression¿¿1127¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
664¿Identifier¿¿1127¿require¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
665¿Literal¿string¿1127¿¿'chalk'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
666¿VariableDeclarator¿¿1127¿cl¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
667¿CallExpression¿¿1127¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
668¿Identifier¿¿1127¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
669¿Literal¿string¿1127¿¿'chalkline'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
670¿VariableDeclarator¿¿1127¿Table¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
671¿CallExpression¿¿1127¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
672¿Identifier¿¿1127¿require¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
673¿Literal¿string¿1127¿¿'cli-table'¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
674¿VariableDeclarator¿¿1127¿pkgInfo¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
675¿CallExpression¿¿1127¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
676¿Identifier¿¿1127¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
677¿Literal¿string¿1127¿¿'../package.json'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
678¿VariableDeclarator¿¿1127¿CLI_ICON_FAIL¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
679¿Literal¿string¿1127¿¿'✘'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
680¿VariableDeclarator¿¿1127¿CLI_ICON_PASS¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
681¿Literal¿string¿1127¿¿'✓'¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
682¿VariableDeclarator¿¿1127¿CLI_ICON_WARN¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
683¿Literal¿string¿1127¿¿'♺'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
684¿VariableDeclarator¿¿1127¿CLI_ICON_NOTE¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
685¿Literal¿string¿1127¿¿'✏︎'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Literal
686¿VariableDeclarator¿¿1127¿v56¿¿¿{"start":{"line":13,"column":11},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
687¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
688¿VariableDeclarator¿¿1129¿v55¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
689¿MemberExpression¿¿1129¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
690¿Identifier¿¿1129¿pkgInfo¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
691¿Identifier¿¿1129¿version¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
692¿ReturnStatement¿¿1129¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
693¿Identifier¿¿1129¿v55¿¿¿¿¿Identifier
694¿BlockStatement¿¿1129¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
695¿VariableDeclarator¿¿1127¿v58¿¿¿{"start":{"line":16,"column":8},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
696¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
697¿VariableDeclarator¿¿1131¿v57¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
