Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2036¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":292,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Program
2037¿VariableDeclarator¿¿3554¿v226¿¿¿{"start":{"line":1,"column":1},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2038¿FunctionExpression¿¿3554¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿FunctionExpression
2039¿Identifier¿¿0¿root¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2040¿Identifier¿¿0¿factory¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2041¿ExpressionStatement¿¿3556¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ExpressionStatement
2042¿Literal¿string¿3556¿¿'use strict'¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2043¿VariableDeclarator¿¿3556¿v212¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2044¿UnaryExpression¿typeof¿3556¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿UnaryExpression
2045¿Identifier¿¿3556¿module¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2046¿VariableDeclarator¿¿3556¿v213¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2047¿BinaryExpression¿===¿3556¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BinaryExpression
2048¿Identifier¿¿3556¿v212¿¿¿¿¿Identifier
2049¿Literal¿string¿3556¿¿'object'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2050¿VariableDeclarator¿¿3556¿v214¿¿¿{"start":{"line":5,"column":43},"end":{"line":5,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2051¿MemberExpression¿¿3556¿¿¿¿{"start":{"line":5,"column":43},"end":{"line":5,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2052¿Identifier¿¿3556¿module¿¿¿{"start":{"line":5,"column":43},"end":{"line":5,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2053¿Identifier¿¿3556¿exports¿¿¿{"start":{"line":5,"column":50},"end":{"line":5,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2054¿VariableDeclarator¿¿3556¿v215¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2055¿UnaryExpression¿typeof¿3556¿¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿UnaryExpression
2056¿Identifier¿¿3556¿v214¿¿¿¿¿Identifier
2057¿VariableDeclarator¿¿3556¿v216¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2058¿BinaryExpression¿===¿3556¿¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BinaryExpression
2059¿Identifier¿¿3556¿v215¿¿¿¿¿Identifier
2060¿Literal¿string¿3556¿¿'object'¿¿{"start":{"line":5,"column":62},"end":{"line":5,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2061¿VariableDeclarator¿¿3556¿v217¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2062¿LogicalExpression¿&&¿3556¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿LogicalExpression
2063¿Identifier¿¿3556¿v213¿¿¿¿¿Identifier
2064¿Identifier¿¿3556¿v216¿¿¿¿¿Identifier
2065¿IfStatement¿¿3556¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":13,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿IfStatement
