Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
652¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":135,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Program
653¿VariableDeclarator¿¿1133¿http¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿VariableDeclarator
654¿CallExpression¿¿1133¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿CallExpression
655¿Identifier¿¿1133¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
656¿Literal¿string¿1133¿¿'http'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
657¿VariableDeclarator¿¿1133¿url¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿VariableDeclarator
658¿CallExpression¿¿1133¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿CallExpression
659¿Identifier¿¿1133¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
660¿Literal¿string¿1133¿¿'url'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
661¿VariableDeclarator¿¿1133¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿VariableDeclarator
662¿CallExpression¿¿1133¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿CallExpression
663¿Identifier¿¿1133¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
664¿Literal¿string¿1133¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
665¿VariableDeclarator¿¿1133¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿VariableDeclarator
666¿CallExpression¿¿1133¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿CallExpression
667¿Identifier¿¿1133¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
668¿Literal¿string¿1133¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
669¿VariableDeclarator¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿VariableDeclarator
670¿ObjectExpression¿¿1133¿¿¿¿¿¿ObjectExpression
671¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
672¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
673¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
674¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
675¿Literal¿string¿1133¿¿'.css'¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
676¿Literal¿string¿1133¿¿'text/css'¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
677¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
678¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
679¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
680¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
681¿Literal¿string¿1133¿¿'.doc'¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
682¿Literal¿string¿1133¿¿'application/msword'¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
683¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
684¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
685¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
