Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":18,"column":3}}¿¿Program
1¿VariableDeclarator¿¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26}}¿¿VariableDeclarator
2¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26}}¿¿CallExpression
3¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18}}¿¿Identifier
4¿Literal¿string¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25}}¿¿Literal
5¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22}}¿¿VariableDeclarator
6¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22}}¿¿CallExpression
7¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16}}¿¿Identifier
8¿Literal¿string¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21}}¿¿Literal
9¿VariableDeclarator¿¿v7¿¿¿{"start":{"line":3,"column":6},"end":{"line":15,"column":1}}¿¿VariableDeclarator
10¿FunctionExpression¿¿anon¿¿¿{"start":{"line":3,"column":11},"end":{"line":15,"column":1}}¿¿FunctionExpression
11¿Identifier¿¿request¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28}}¿¿Identifier
12¿Identifier¿¿response¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":38}}¿¿Identifier
13¿VariableDeclarator¿¿v1¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":26}}¿¿VariableDeclarator
14¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":26}}¿¿MemberExpression
15¿Identifier¿¿request¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22}}¿¿Identifier
16¿Identifier¿¿url¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":26}}¿¿Identifier
17¿VariableDeclarator¿¿v2¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":30}}¿¿VariableDeclarator
18¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":30}}¿¿CallExpression
19¿MemberExpression¿¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":26}}¿¿MemberExpression
20¿Identifier¿¿console¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22}}¿¿Identifier
21¿Identifier¿¿log¿¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":26}}¿¿Identifier
22¿Identifier¿¿v1¿¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":29}}¿¿Identifier
23¿ExpressionStatement¿¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":7}}¿¿ExpressionStatement
24¿Identifier¿¿v2¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":6}}¿¿Identifier
25¿VariableDeclarator¿¿v3¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":26}}¿¿VariableDeclarator
26¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":26}}¿¿MemberExpression
27¿Identifier¿¿request¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22}}¿¿Identifier
28¿Identifier¿¿url¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":26}}¿¿Identifier
29¿VariableDeclarator¿¿path¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":24}}¿¿VariableDeclarator
30¿BinaryExpression¿+¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":24}}¿¿BinaryExpression
31¿Literal¿string¿¿'./'¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":19}}¿¿Literal
32¿Identifier¿¿v3¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":24}}¿¿Identifier
33¿VariableDeclarator¿¿v5¿¿¿{"start":{"line":9,"column":10},"end":{"line":12,"column":5}}¿¿VariableDeclarator
34¿FunctionExpression¿¿anon¿¿¿{"start":{"line":9,"column":15},"end":{"line":12,"column":5}}¿¿FunctionExpression
35¿Identifier¿¿error¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":30}}¿¿Identifier
36¿Identifier¿¿data¿¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":36}}¿¿Identifier
37¿VariableDeclarator¿¿v4¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":37}}¿¿VariableDeclarator
38¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":37}}¿¿CallExpression
39¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":31}}¿¿MemberExpression
40¿Identifier¿¿response¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":27}}¿¿Identifier
41¿Identifier¿¿end¿¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":31}}¿¿Identifier
42¿Identifier¿¿data¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":36}}¿¿Identifier
43¿ExpressionStatement¿¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":11}}¿¿ExpressionStatement
44¿Identifier¿¿v4¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":10}}¿¿Identifier
45¿BlockStatement¿¿¿¿¿{"start":{"line":9,"column":38},"end":{"line":12,"column":5}}¿¿BlockStatement
46¿VariableDeclarator¿¿v6¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":36}}¿¿VariableDeclarator
47¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":36}}¿¿CallExpression
48¿MemberExpression¿¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":26}}¿¿MemberExpression
49¿Identifier¿¿fs¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":17}}¿¿Identifier
50¿Identifier¿¿readFile¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":26}}¿¿Identifier
51¿Identifier¿¿path¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":31}}¿¿Identifier
52¿Identifier¿¿v5¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":35}}¿¿Identifier
53¿ExpressionStatement¿¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":7}}¿¿ExpressionStatement
54¿Identifier¿¿v6¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":6}}¿¿Identifier
55¿BlockStatement¿¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":15,"column":1}}¿¿BlockStatement
56¿VariableDeclarator¿¿v8¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":32}}¿¿VariableDeclarator
57¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":32}}¿¿CallExpression
58¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":28}}¿¿MemberExpression
59¿Identifier¿¿http¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":15}}¿¿Identifier
60¿Identifier¿¿createServer¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":28}}¿¿Identifier
61¿Identifier¿¿v7¿¿¿{"start":{"line":16,"column":29},"end":{"line":16,"column":31}}¿¿Identifier
62¿VariableDeclarator¿¿v9¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":28}}¿¿VariableDeclarator
63¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":28}}¿¿CallExpression
64¿MemberExpression¿¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":20}}¿¿MemberExpression
65¿Identifier¿¿v8¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":13}}¿¿Identifier
66¿Identifier¿¿listen¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":20}}¿¿Identifier
67¿Literal¿string¿¿'8888'¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":27}}¿¿Literal
68¿ExpressionStatement¿¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":3}}¿¿ExpressionStatement
69¿Identifier¿¿v9¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":2}}¿¿Identifier
70¿CFG_F_START¿¿__main__¿¿¿¿¿CFG_F_START
71¿CFG_F_END¿¿__main__¿¿¿¿¿CFG_F_END
72¿CFG_F_START¿¿10_anon¿¿¿¿¿CFG_F_START
73¿CFG_F_END¿¿10_anon¿¿¿¿¿CFG_F_END
74¿CFG_F_START¿¿34_anon¿¿¿¿¿CFG_F_START
75¿CFG_F_END¿¿34_anon¿¿¿¿¿CFG_F_END
76¿TAINT_SOURCE¿¿¿¿¿¿¿TAINT_SOURCE
77¿PDG_OBJECT¿¿70.http-o1¿¿¿¿¿PDG_OBJECT
78¿TAINT_SINK¿¿require¿¿¿¿¿TAINT_SINK
79¿PDG_OBJECT¿¿70.fs-o2¿¿¿¿¿PDG_OBJECT
80¿TAINT_SINK¿¿require¿¿¿¿¿TAINT_SINK
81¿PDG_OBJECT¿¿72.this-o3¿¿¿¿¿PDG_OBJECT
82¿PDG_OBJECT¿¿72.request-o4¿¿¿¿¿PDG_OBJECT
83¿PDG_OBJECT¿¿72.response-o5¿¿¿¿¿PDG_OBJECT
84¿PDG_OBJECT¿¿70.v7-o6¿¿¿¿¿PDG_OBJECT
85¿PDG_OBJECT¿¿70.v8-o7¿¿¿¿¿PDG_OBJECT
86¿PDG_OBJECT¿¿70.v9-o8¿¿¿¿¿PDG_OBJECT
87¿PDG_OBJECT¿¿72.request.url-o9¿¿¿¿¿PDG_OBJECT
88¿PDG_OBJECT¿¿72.v2-o10¿¿¿¿¿PDG_OBJECT
89¿PDG_OBJECT¿¿72.path-o11¿¿¿¿¿PDG_OBJECT
90¿PDG_OBJECT¿¿74.this-o12¿¿¿¿¿PDG_OBJECT
91¿PDG_OBJECT¿¿74.error-o13¿¿¿¿¿PDG_OBJECT
92¿PDG_OBJECT¿¿74.data-o14¿¿¿¿¿PDG_OBJECT
93¿PDG_OBJECT¿¿72.v5-o15¿¿¿¿¿PDG_OBJECT
94¿PDG_OBJECT¿¿72.v6-o16¿¿¿¿¿PDG_OBJECT
95¿TAINT_SINK¿¿readFile¿¿¿¿¿TAINT_SINK
96¿PDG_OBJECT¿¿74.v4-o17¿¿¿¿¿PDG_OBJECT
