Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
600¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":80,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Program
601¿VariableDeclarator¿¿1050¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
602¿CallExpression¿¿1050¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
603¿Identifier¿¿1050¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
604¿Literal¿string¿1050¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
605¿VariableDeclarator¿¿1050¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
606¿CallExpression¿¿1050¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
607¿Identifier¿¿1050¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
608¿Literal¿string¿1050¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
609¿VariableDeclarator¿¿1050¿cwd¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
610¿CallExpression¿¿1050¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
611¿MemberExpression¿¿1050¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
612¿Identifier¿¿1050¿process¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
613¿Identifier¿¿1050¿cwd¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
614¿VariableDeclarator¿¿1050¿mime¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
615¿CallExpression¿¿1050¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
616¿Identifier¿¿1050¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
617¿Literal¿string¿1050¿¿'mime'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
618¿VariableDeclarator¿exported¿1050¿v97¿¿¿{"start":{"line":7,"column":9},"end":{"line":79,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
619¿FunctionExpression¿¿1050¿anon¿¿¿{"start":{"line":7,"column":9},"end":{"line":79,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿FunctionExpression
620¿Identifier¿¿0¿options¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
621¿VariableDeclarator¿¿1052¿v50¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
622¿ObjectExpression¿¿1052¿¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ObjectExpression
623¿ExpressionStatement¿¿1052¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ExpressionStatement
624¿AssignmentExpression¿=¿1052¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿AssignmentExpression
625¿Identifier¿¿1052¿options¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
626¿LogicalExpression¿||¿1052¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿LogicalExpression
627¿Identifier¿¿1052¿options¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
628¿Identifier¿¿1052¿v50¿¿¿¿¿Identifier
629¿VariableDeclarator¿¿1052¿v51¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
630¿MemberExpression¿¿1052¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
631¿Identifier¿¿1052¿options¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
632¿Identifier¿¿1052¿port¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
633¿ExpressionStatement¿¿1052¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ExpressionStatement
634¿AssignmentExpression¿=¿1052¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿AssignmentExpression
635¿MemberExpression¿¿1052¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
636¿Identifier¿¿1052¿options¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
637¿Identifier¿¿1052¿port¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
638¿LogicalExpression¿||¿1052¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿LogicalExpression
639¿Identifier¿¿1052¿v51¿¿¿¿¿Identifier
