Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1006¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":123,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Program
1007¿VariableDeclarator¿¿1739¿cp¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1008¿CallExpression¿¿1739¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1009¿Identifier¿¿1739¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1010¿Literal¿string¿1739¿¿'child_process'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1011¿VariableDeclarator¿exported¿1739¿v118¿¿¿{"start":{"line":3,"column":10},"end":{"line":34,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1012¿FunctionExpression¿¿1739¿anon¿¿¿{"start":{"line":3,"column":24},"end":{"line":34,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿FunctionExpression
1013¿Identifier¿¿0¿pid¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1014¿Identifier¿¿0¿fn¿¿¿{"start":{"line":3,"column":38},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1015¿VariableDeclarator¿¿1741¿v93¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1016¿UnaryExpression¿typeof¿1741¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿UnaryExpression
1017¿Identifier¿¿1741¿pid¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1018¿VariableDeclarator¿¿1741¿v94¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1019¿BinaryExpression¿===¿1741¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BinaryExpression
1020¿Identifier¿¿1741¿v93¿¿¿¿¿Identifier
1021¿Literal¿string¿1741¿¿'function'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1022¿IfStatement¿¿1741¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":7,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿IfStatement
1023¿Identifier¿¿1741¿v94¿¿¿¿¿Identifier
1024¿ExpressionStatement¿¿1741¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1025¿AssignmentExpression¿=¿1741¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿AssignmentExpression
1026¿Identifier¿¿1741¿fn¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1027¿Identifier¿¿1741¿pid¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
