Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1698¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":203,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Program
1699¿ExpressionStatement¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1700¿Literal¿string¿¿'use strict'¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1701¿VariableDeclarator¿¿express¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1702¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1703¿Identifier¿¿require¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1704¿Literal¿string¿¿'express'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1705¿VariableDeclarator¿¿app¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1706¿CallExpression¿¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1707¿Identifier¿¿express¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1708¿VariableDeclarator¿¿bodyParser¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1709¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1710¿Identifier¿¿require¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1711¿Literal¿string¿¿'body-parser'¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1712¿VariableDeclarator¿¿dns¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1713¿CallExpression¿¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1714¿Identifier¿¿require¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1715¿Literal¿string¿¿'dns'¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1716¿VariableDeclarator¿¿rpi_live_module¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1717¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1718¿Identifier¿¿require¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1719¿Literal¿string¿¿'./pi_video_recording'¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1720¿VariableDeclarator¿¿globalConf¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1721¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1722¿Identifier¿¿require¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1723¿Literal¿string¿¿'./config.json'¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1724¿VariableDeclarator¿¿v156¿¿¿¿¿VariableDeclarator
1725¿ObjectExpression¿¿¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ObjectExpression
1726¿Property¿¿¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Property
1727¿Identifier¿¿extended¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1728¿Literal¿boolean¿¿true¿¿{"start":{"line":16,"column":41},"end":{"line":16,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1729¿VariableDeclarator¿¿v157¿¿¿¿¿VariableDeclarator
1730¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1731¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1732¿Identifier¿¿bodyParser¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1733¿Identifier¿¿urlencoded¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1734¿Identifier¿¿v156¿¿¿¿¿Identifier
1735¿VariableDeclarator¿¿v158¿¿¿¿¿VariableDeclarator
1736¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1737¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1738¿Identifier¿¿app¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1739¿Identifier¿¿use¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1740¿Identifier¿¿v157¿¿¿¿¿Identifier
1741¿ExpressionStatement¿¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1742¿Identifier¿¿v158¿¿¿¿¿Identifier
1743¿VariableDeclarator¿¿v159¿¿¿¿¿VariableDeclarator
1744¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1745¿MemberExpression¿¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1746¿Identifier¿¿bodyParser¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1747¿Identifier¿¿json¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1748¿VariableDeclarator¿¿v160¿¿¿¿¿VariableDeclarator
1749¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1750¿MemberExpression¿¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1751¿Identifier¿¿app¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1752¿Identifier¿¿use¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1753¿Identifier¿¿v159¿¿¿¿¿Identifier
1754¿ExpressionStatement¿¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1755¿Identifier¿¿v160¿¿¿¿¿Identifier
1756¿VariableDeclarator¿¿port¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1757¿MemberExpression¿¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1758¿Identifier¿¿globalConf¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1759¿Identifier¿¿port¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1760¿ExpressionStatement¿¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1761¿AssignmentExpression¿=¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿AssignmentExpression
1762¿MemberExpression¿¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
