Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
622¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":104,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Program
623¿VariableDeclarator¿¿1114¿v61¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
624¿CallExpression¿¿1114¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿CallExpression
625¿Identifier¿¿1114¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
626¿Literal¿string¿1114¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
627¿VariableDeclarator¿¿1114¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
628¿MemberExpression¿¿1114¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
629¿Identifier¿¿1114¿v61¿¿¿¿¿Identifier
630¿Identifier¿¿1114¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
631¿VariableDeclarator¿¿1114¿utils¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
632¿CallExpression¿¿1114¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿CallExpression
633¿Identifier¿¿1114¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
634¿Literal¿string¿1114¿¿'./utils'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
635¿VariableDeclarator¿¿1114¿v120¿¿¿{"start":{"line":21,"column":17},"end":{"line":104,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
636¿FunctionExpression¿¿1114¿anon¿¿¿{"start":{"line":21,"column":27},"end":{"line":104,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿FunctionExpression
637¿Identifier¿¿0¿proto¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
638¿VariableDeclarator¿¿1116¿compare¿¿¿{"start":{"line":22,"column":2},"end":{"line":98,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
639¿FunctionExpression¿¿1116¿anon¿¿¿{"start":{"line":22,"column":2},"end":{"line":98,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿FunctionExpression
640¿Identifier¿¿0¿orig¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
641¿Identifier¿¿0¿compareTo¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
642¿Identifier¿¿0¿options¿¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
643¿Identifier¿¿0¿cb¿¿¿{"start":{"line":22,"column":45},"end":{"line":22,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
644¿ExpressionStatement¿¿1118¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ExpressionStatement
645¿AssignmentExpression¿=¿1118¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿AssignmentExpression
646¿Identifier¿¿1118¿orig¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
647¿CallExpression¿¿1118¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿CallExpression
648¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
649¿Identifier¿¿1118¿utils¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
650¿Identifier¿¿1118¿escape¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
651¿Identifier¿¿1118¿orig¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
652¿ExpressionStatement¿¿1118¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ExpressionStatement
653¿AssignmentExpression¿=¿1118¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿AssignmentExpression
654¿Identifier¿¿1118¿compareTo¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
655¿CallExpression¿¿1118¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿CallExpression
656¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
657¿Identifier¿¿1118¿utils¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
658¿Identifier¿¿1118¿escape¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
659¿Identifier¿¿1118¿compareTo¿¿¿{"start":{"line":24,"column":29},"end":{"line":24,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
660¿VariableDeclarator¿¿1118¿v62¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
661¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
662¿ThisExpression¿¿1118¿¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ThisExpression
663¿Identifier¿¿1118¿_options¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
664¿VariableDeclarator¿¿1118¿v63¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
665¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
666¿ThisExpression¿¿1118¿¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ThisExpression
667¿Identifier¿¿1118¿_options¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
668¿VariableDeclarator¿¿1118¿v64¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
669¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
670¿Identifier¿¿1118¿v63¿¿¿¿¿Identifier
671¿Identifier¿¿1118¿imageMagick¿¿¿{"start":{"line":26,"column":55},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
672¿VariableDeclarator¿¿1118¿isImageMagick¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
673¿LogicalExpression¿&&¿1118¿¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿LogicalExpression
674¿Identifier¿¿1118¿v62¿¿¿¿¿Identifier
675¿Identifier¿¿1118¿v64¿¿¿¿¿Identifier
676¿VariableDeclarator¿¿1118¿bin¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
677¿IfStatement¿¿1118¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿IfStatement
678¿Identifier¿¿1118¿isImageMagick¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
679¿ExpressionStatement¿¿1118¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ExpressionStatement
680¿AssignmentExpression¿=¿1118¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿AssignmentExpression
681¿Identifier¿¿1118¿bin¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
682¿Literal¿string¿1118¿¿''¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
683¿BlockStatement¿¿1118¿¿¿¿¿¿BlockStatement
684¿ExpressionStatement¿¿1118¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ExpressionStatement
