Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
10852¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1019,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Program
10853¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ExpressionStatement
10854¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10855¿VariableDeclarator¿¿v1861¿¿¿¿¿VariableDeclarator
10856¿FunctionExpression¿¿anon¿¿¿{"start":{"line":76,"column":20},"end":{"line":1008,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿FunctionExpression
10857¿VariableDeclarator¿¿o¿¿¿{"start":{"line":77,"column":8},"end":{"line":79,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10858¿FunctionExpression¿¿o¿¿¿{"start":{"line":77,"column":12},"end":{"line":79,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿FunctionExpression
10859¿Identifier¿¿k¿¿¿{"start":{"line":77,"column":23},"end":{"line":77,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10860¿Identifier¿¿v¿¿¿{"start":{"line":77,"column":26},"end":{"line":77,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10861¿Identifier¿¿_o¿¿¿{"start":{"line":77,"column":29},"end":{"line":77,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10862¿Identifier¿¿l¿¿¿{"start":{"line":77,"column":33},"end":{"line":77,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10863¿VariableDeclarator¿¿v940¿¿¿¿¿VariableDeclarator
10864¿ObjectExpression¿¿¿¿¿{"start":{"line":78,"column":24},"end":{"line":78,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ObjectExpression
10865¿VariableDeclarator¿¿v941¿¿¿¿¿VariableDeclarator
10866¿UpdateExpression¿¿¿¿¿{"start":{"line":78,"column":42},"end":{"line":78,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿UpdateExpression
10867¿Identifier¿¿l¿¿¿{"start":{"line":78,"column":42},"end":{"line":78,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10868¿WhileStatement¿¿¿¿¿{"start":{"line":78,"column":8},"end":{"line":78,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿WhileStatement
10869¿Identifier¿¿v941¿¿¿¿¿Identifier
10870¿VariableDeclarator¿¿v942¿¿¿¿¿VariableDeclarator
10871¿MemberExpression¿computed¿¿¿¿{"start":{"line":78,"column":50},"end":{"line":78,"column":54},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿MemberExpression
10872¿Identifier¿¿k¿¿¿{"start":{"line":78,"column":50},"end":{"line":78,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10873¿Identifier¿¿l¿¿¿{"start":{"line":78,"column":52},"end":{"line":78,"column":53},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10874¿ExpressionStatement¿¿¿¿¿{"start":{"line":78,"column":8},"end":{"line":78,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ExpressionStatement
10875¿AssignmentExpression¿=¿¿¿¿{"start":{"line":78,"column":8},"end":{"line":78,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿AssignmentExpression
10876¿Identifier¿¿v941¿¿¿{"start":{"line":78,"column":8},"end":{"line":78,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10877¿UpdateExpression¿¿¿¿¿{"start":{"line":78,"column":42},"end":{"line":78,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿UpdateExpression
10878¿Identifier¿¿l¿¿¿{"start":{"line":78,"column":42},"end":{"line":78,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10879¿BlockStatement¿¿¿¿¿¿¿BlockStatement
10880¿ReturnStatement¿¿¿¿¿{"start":{"line":78,"column":63},"end":{"line":78,"column":73},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ReturnStatement
10881¿Identifier¿¿_o¿¿¿{"start":{"line":78,"column":70},"end":{"line":78,"column":72},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Identifier
10882¿BlockStatement¿¿¿¿¿{"start":{"line":77,"column":36},"end":{"line":79,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿BlockStatement
10883¿VariableDeclarator¿¿$V0¿¿¿{"start":{"line":80,"column":8},"end":{"line":80,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
