Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1033¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":111,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Program
1034¿ExpressionStatement¿¿1795¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿ExpressionStatement
1035¿Literal¿string¿1795¿¿'use strict'¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1036¿VariableDeclarator¿¿1795¿v92¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1037¿CallExpression¿¿1795¿¿¿¿{"start":{"line":7,"column":35},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1038¿Identifier¿¿1795¿require¿¿¿{"start":{"line":7,"column":35},"end":{"line":7,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1039¿Literal¿string¿1795¿¿'chalk'¿¿{"start":{"line":7,"column":43},"end":{"line":7,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1040¿VariableDeclarator¿¿1795¿blue¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1041¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1042¿Identifier¿¿1795¿v92¿¿¿¿¿Identifier
1043¿Identifier¿¿1795¿blue¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1044¿VariableDeclarator¿¿1795¿bold¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1045¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1046¿Identifier¿¿1795¿v92¿¿¿¿¿Identifier
1047¿Identifier¿¿1795¿bold¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1048¿VariableDeclarator¿¿1795¿green¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1049¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1050¿Identifier¿¿1795¿v92¿¿¿¿¿Identifier
